用户名,评论
竹叶飘香_涵情,清明节估计交通会很堵，计划早7点前出门，高速已经开始堵了，绕了几下，8点到达农场，还没有开门，平时去应该不会堵车，天安门起始也就50公里！热心的老板娘给我们开门，我们在屋里玩了会棋牌游戏。农场里的小动物可以投喂，孩子高兴坏了！去的早还可以搭帐篷，还有各种爬架滑梯，空气超好的儿童户外运动！中午11点30开餐，自助取餐，杜绝浪费！食材挺新鲜，羊肉串和小腰子最棒！每人还有一只手掌大的大虾🍤！老板特别热情，亲自给我们示范烤串，味道真不错！					
52京京,清明放假约着朋友一起出来踏青郊游，和朋友家一起选择了花田。推荐理由：今天天气不错，田地里才刚刚返青，花田里的小动物都非常的可爱。特色体验：中午我们也选择在花田里吃饭，很方便。这个地方推荐带小孩子的家庭去特别适合。					
hyh878708,3.12是植树节，孩子上二年级，第四课课文正好也是讲植树的，于是我约了3.14（周日带孩子植树），现在周末我尽量安排全家行动，于是找了顺义这家，可以带上家人一起去烧烤。138一位的自助烧烤～烧烤店里的常规菜品都有：肥瘦相间的羊肉串、裹半圈肥油的逍遥子、鸡胗、鸡心、鸡关节、鸡脚筋、牛板筋、螺旋状的面筋、鱼豆腐、香肠、土豆片、面头片、阿姨现煮的炸酱面、油炸花生米、大可乐大雪碧、还有每人限量一只的大虾～还有巨好喝的热乎的煮苹果水～（只能能回忆起来这些品种了）。真的真的很好吃！每样都好吃！中途还有工作人员指导我们烧烤！可以喂小动物，就是常规的鸡鸭鹅这些～还有一小块秋千这样的大人孩子能一起玩的场地～我们种的是桃树苗，100元一颗，就是哄孩子玩，种完阿姨就会移走，让孩子体验：挖坑、放树苗、填土、浇水～如果认领这棵树是980～我们还参加了踏染活动，老板娘带着我们把玫瑰花和芹菜叶子踏染在白色帆布包上，过程很解压，做完的包包颜色也真的好看～整体还是不错的，每周都换着花样带孩子出来玩玩～					
咘咘酱,想着马上植树节了，带孩子们寻找个地方种棵小树。在大众点评里找到了共享花田，联系老板会给你最便捷的地址。到了花田后就被咖啡厅吸引了，跟以前去的农场不同，这里很惬意，我很喜欢。孩子们点了苹果汁（25元一杯）还吃了苹果干（25元一包），里面还有桌游，儿童绘本，一张小乐高桌，楼上还有幼儿休息区，听老板说疫情前这里暑假有幼儿夏令营，现在变成烧烤了。我们时间有限就没尝试烧烤，喂了小动物，玩了会儿室内和室外的游戏区就去种树了（户外乐园+喂食小动物+树苗收费一人100元）。小朋友自己动手挖洞种树苗还是很好玩的，到最后孩子们都不想回家，总的来说，我觉得值得一去。亲们看看，不知道是否有帮助。					
jobby9292,清明节第一天，生意真是太火爆了，人虽多却不混乱嘈杂，主要是地方太大啦，区域划分的也合理，烧烤区，采摘区，小动物喂养区，还有小朋友的娱乐区，吃吃喝喝玩一天，强烈推荐！最重要的是，这家自助烧烤的食材，是我吃过全北京最好的，尤其是羊肉串。听说老板好像还是射箭高手，看到有客人带着弓箭来切磋，还有小朋友的射箭入门器材。					
merrybys,太开心了，在家憋了那么久，终于来到盼望中的地方。孩子们玩疯了，大人们说这就是向往的自由生活。一望无际的绿色，香香的草地味道，清新又宁静。大片的菜地，自取自足的晚餐和烤串。孩子们喜欢的小农场和小动物们。成群的小狗狗伴着你跑在脚边，游乐园是所有人的天堂，除了孩子大人们也找寻小时候的回忆，各自尽欢。射箭🏹，狙击，草地上奔跑，小小足球队，认知小农场...就这样的日子有多满足，真心爱了哎					
Chelsea西,亲子农场植树活动小动物最可爱烧烤种类不多可以增加一些小朋友玩的很开心100多人活动服务会照顾不过来总体感觉很快乐烧烤自己烤失败率太高人间烟火气最抚凡人心周末愉快植树节愉快🥒🥒🥒🥒🥒种下春天里的希望					
dpuser_4914258831,老板是天津人，感觉是一个好客勤快有情怀的人。每遇到聊的来的客人，或者人少的时候都会自己动手帮客人烤串，骄傲的给你讲，你吃的是天津风味烤串和炸酱面，骄傲的给你讲为什么他的苹果🍎很好吃，骄傲的给你讲他的创业和筹划园区的想法💡。这里是一个集合儿童射击，农业种植，养殖体验的教育基地。小而全的环境，让孩子来了能足足玩一天。¹认识各种常见菜的生长情况，再加上自己采摘的乐趣，让城市长大的孩子们充满新鲜感。²兔子🐰猪🐷鸡🐔羊🐏狗🐶等等动物，都可以投喂。³小型木桩搭建的场，让孩子们可以放放电。如果你想让自己的孩子亲近自然，那就来吧。					
向往瓦尔登湖,#再次到来#老板依然热情幽默，就是现在中午人稍稍多了些，除了一些散客家庭，还有些年轻人过来在大草坪上玩游戏，类似团建活动，他们应该是提前预约的，还玩了据老板说很高档的私人订制台球和卡拉OK设备不过空间足够大，相对于其他地方，人均空间还是很充裕的各种蔬菜确实好吃，烧烤怎么说呢，“好吃，绝了”，多少有点对此地钟情的心理作祟拓印的环保布袋不错，最大的乐趣在这个大橡胶锤挥舞的时刻。本来打算过来草地搭帐篷，唉，8℃+西北风……老板心善，让我们移到了屋里享了一晚帐篷睡觉的体验最后，在这看月亮，好大大大的，很亮亮亮的					
nini331,公司郊游，因为是周五，所以算是包场。都是奔着吃来的，所以好多人都没吃早饭，饥肠辘辘，等候的过程中先去看了小动物，然后还吃了果园的苹果，很甜。大虾一人一只限量，据说是进口冻虾，肉比较紧，一般。羊肉串味道还行，就是火刚开始比较慢，等得有点着急。炸酱面也是限量，一人一碗，味道还行，也没那么惊艳。苹果20一斤，买一送一，不便宜。老板是射箭冠军，热心教大家射箭技巧，后来技痒还给大家表演，果然很厉害。					
dpuser_4050562183,又到了苹果采摘的季节，他家苹果是真的好吃，皮薄脆甜，只不过价格这几年也是涨了不少。适合带孩子来，有个小乐园。周末人不少，但车位能有二三十吧，不会显得拥挤。赶上公司团建就不好说了。如果平日去最好提前打电话预约，不然怕没有管理人员在。上午9-11点，下午13点开始。今年多了一只叫闪电的香猪，今天好荣幸遇到它的主人。特别聪明的猪猪，知道享受人给他按摩。					
原始猪,来了不想走了，太舒服了，苹果那叫一个好吃呀，刘总说她家的地养十年了不打那种肥，王林苹果甜到齁，又脆又甜多汁，比我们山东的王林好吃，红富士也很甜脆，烧烤自己动手，第一次动手烤还行没'烤糊巴她家的甜辣酱很好吃好像是自己做的，以后还会来。苹果虽然价格不低但是值得买，吃完让老板给快递					
chipotlefan,特色体验：招牌摘菜，摘瓜，掰玉米🌽推荐理由：场地大，菜新鲜，种类繁多……采摘玩回家来一顿小烤肉日子滋呀紫苏也不赖，玉米🌽也OK，生菜🥬太鲜嫩了交通：开车进院有停车场交通便利距离市区比较近小菜农的日子不亦乐乎，还带走两颗薄荷回家种上					
lily8145,非常值得推荐的亲子乐园。烧烤食材上乘，大虾十分新鲜。孩子们草坪上可以射箭，踢球。旁边还有各种小动物。度假放松的好选择！
毒吻食客,初春时节来到农场，感觉到安静而有土壤的浓郁气息，孩子们喜欢沙土，秋千，吊环，我则可以在阳光暖房静静地坐一下午，咖啡不错，晒的苹果干超甜，可以相约五月份来看格桑花，做印染，也可以10月来采摘苹果。
懿卉,第二次来共享花田了，烧烤，喂小动物，采摘有机蔬菜，终于又到了苹果采摘季，吃过这里的苹果吃不了其他的了太好吃了，皮薄脆香甜，富士和王林两个品种已经买了两年了，一买买一冬天，吃完就等第二年，今天摘了三十多斤，吃完再来，等下树后也可以直接快递，非常方便，赞🏻🏻🏻🏻					
骨头有肉,交通：位置在昌平村里挺深的，不是大众的推荐很少会路过哦！比起延庆什么的总体还算近的。共享花田的概念挺好的，店主服务贴心特色体验：按人头收费这点也挺省去很多麻烦农场还原现代农村形象，最受孩子欢迎的当属小动物们，鸭子、羊、小驴、鹅、火鸡、大猪、收养的流浪狗，不是放养哦！每类都在圈里，团购包含一筐菜可以喂动物餐食是自助烧烤，包含饮品是1桶可乐1桶雪碧，店里也有其他饮品和冰棍需自费。我家经验不足开始被烤糊，烧烤的地方在图9里，靠里面的位置通风效果不太好，建议去的家庭提前做好分工准备。店家允许带孩子的在阳光房里等着玩和吃。推荐理由：阳光房里有孩子玩的区域，也有几张桌子老人孩子可以在那歇脚和吃喝，有空调环境不错。tips：另外还可以捞小鱼，秋千，小型攀爬，滋水枪（店家赠送1个简易版），采摘的朋友可以让当地大姐带着去旁边菜园摘，团购的人按采摘回来的称重，15元/斤计费哦，一般老人过过瘾图个新鲜嘛。本市行程适合玩1天					
Indigo,🌟唯一的亮点是钟薛高雪糕还有不限量的串串，老板会教怎么烤，剩下的都是孩子喜欢的。🍼孩子玩的种类到时还挺多的🙎大人可玩性比较低，基本没事干，打了一下午麻将🌚还有就是必须要吐槽一下，如果台球不能打那就别开放，生怕给打坏了、划破了，一直被盯着感觉很不好					
静静,其实这里不是我特意想去的地方，因为想去的地方需要提前预约，去不了，最后看大众点评推荐的这里，看了看评价决定去的。这里应该就是一个自己的小农场，一进去就可以看见旁边挂着的野葡萄，往里一直走，有一个大一点的沙堆，可以让孩子玩，再一直走可以看到一小块非常干净的小草坪，旁边有一个废弃的公交车，两旁有一个小鱼塘，前方有一个充气泳池，最右边有许多动物兔子、鸡、小羊、猪，老板会发给每个孩子一筐青菜，喂动物用，还有一个小鱼网每个孩子捞三条，多余的单收费2元一条，但是鱼真的太精了，一个也捞不上来，自助的烤串非常好吃，尤其板筋根本吃不够，肉串也非常新鲜不是冷冻的，自助餐满分，适合家庭来，孩子拿着水枪不用看着可以玩一天，也不用担心孩子无聊，唯一不满意一点说是组织孩子采摘，但是没有这个活动，一样老板还进，其它值得推荐。					
匿名用户,苹果🍎又熟了，盼了一年终于又可以来摘🍎了，亲手摘下一个大🍎，咬一口，爆汁甜，不辜负我等了它一年，还是记忆中的味道，回味中的美好，老板很热情，服务很周到，环境优美，还有各种小动物，地里的蔬菜现拔现涮特别鲜美，还可以烧烤、射箭等活动，适合家庭小聚、亲子活动以及各种团队活动，是个放松心情的好地方。					
饕餮妞儿,共享花田亲子农场🌹，有萌宠小动物，自助烧烤（只有虾是每人一只，其他不限量）饭后，孩子们摘花瓣，自制植物印拓，以后我就可以背这个限量款的包包啦！农场还有很多苹果，蔬菜🥬可以采摘，适合带娃休闲的好去处！场地很大，很适合很小的孩子来玩，国庆期间，5号来的，这里需要预约，所以人不会太多，舒舒服服的吃吃喝喝					
忘忧草,趁着十一假期郊区打卡《共享花田》亲子农场，这儿的环境不错，是个遛娃的好去处，可以自己烧烤，采摘，喂食小动物，还有孩子的玩耍区，可以让孩子们尽情的撒欢儿，还有自己动手制作环保布袋子，很有意思以后还会来呦					
狮小妖儿,老板巡视之后亲自给烤串，简直太暖了。烧烤很好吃且不限量，适合大胃王前来。有动物可以投喂，且异味儿不大，总体还算干净。每个小朋友可以领一筐蔬菜去喂动物。攀爬架秋千滑梯鱼池，足够娃撒欢放电。还有苹果树，还没成熟，下次可以来采摘。					
yangmengxing,还可以吧，可能去的有点晚了，苹果树上的苹果有点干巴了。玩得东西也不算多，孩子能玩个把小时吧，问题在吃饭上面，除了烧烤就只有炸酱面了，人少吃烧烤不好玩，炸酱面又太过简单，周围也没啥好的吃饭的地方。老板如果想做大，餐饮这块儿还是要重视重视。ps：洗手液很好用					
zy_4032,小朋友来这里过生日，好大的园子，可以摘苹果，捞小鱼，射箭，孩子们放心奔跑，孩子们的聚会，也是大人们放松的好场所。一杯鲜榨苹果汁，太新鲜了！感谢老板的热情烧烤，免费学习了哈哈。非常值得一来的地方。放松心灵！！					
国庆,性价比不高，适合团体活动，不太适合一家人出行~烧烤场地比较集中，如果是游玩人较多，烧烤烟比较大，卫生方面：食材如果上桌，苍蝇一片~但是环境整体看起来还好。里面如果不采摘苹果，也没啥可玩的，整体感觉就农村大户人家，把养的羊啊，鸡啊，鸭啊，都放在圈里。拿着菜叶子喂喂，这个性价比，其实去野生动物更划算。里面最热情的就是服务员阿姨，拿着食材过来还还嘱咐不够可以急需要，食材在清单上列的非常清楚，没有其他多余的选择。这个价位的自助餐，一桌只送一瓶大可乐或者雪碧（任选）其他饮品都自费。价格有点偏高。当时我们有个别的食材，比如鸡类不喜欢吃，就让阿姨直接拿回去了。羊肉肉质不错，现解冻的。我们让再上十串之后，老板有丝丝的不高兴，问我们能吃了嘛，拿可以，吃不了可不行。生硬的话，让你顿时也没有什么想吃的感觉了。我们回答可以的：老板说，那等会吧，得现解冻。一家人花1000元左右，喂喂鸡鸭羊，吃顿自助烧烤，个人感觉性价比不高。可能他们团体上有活动，人多的话，可以玩起来。还ok。					
Elle,环境很好，拍照不错，带着孩子玩的游戏一般。烧烤种类不算多，肉新鲜。就是烤一半带孩子玩了会儿，回来发现桌子都收拾了。炭火也撤了…还没怎么吃呢。炸酱面味道不错，服务员一直在推荐，虽然好吃，但也很占肚子。
dpuser_57817015555,环境幽美，服务周到，苹果汁多味甜，是一个值得再来的好地方。
来妞妞,夏天带孩子去玩的，对比了其他家，费用比较高，但是串比较新鲜，还有玩水和喂小动物的地方，总之孩子比较喜欢
Jessica5117,农场环境清幽，烤串味道很赞～宝宝玩到不想回家
coco4021984,感觉主要是烧烤和采摘吧！玩的有捞鱼和喂小动物（狗🐶、鸡🐔、兔、羊、驴、猪🐷），还有一些秋千和木制游乐设施！需要提前预约！烧烤完再采摘顺便再玩会（大厅有磁力贴和积木），一天也算圆满了！推荐鲜榨苹果汁，好喝！					
兜宝阁云集折扣店,性价比和军都山比起来真的不高了…198一位大小同价、实际孩子只能吃两三串，别的地方孩子都是半价。烧烤种类真的不多，肉还算不错吧。捞鱼的水太浑了，完全捞不着，玩的其实很有限、实在需要老板好好经营。					
睻睻爸_4213,服务很到位～烧烤环境很好～还有专门的人指导烧烤～菜品很新鲜～尤其是板筋特别好吃～大虾也很大～肉质很肥美～可以采摘蔬菜～就是小动物园的动物有点少～而且几乎都是家畜类～整体老说很不错～孩子们玩儿的也很开心～					
竹子张,交通：离市区距离不远，也很好找，导航直达，车停门口走进去特色体验：之前疫情期间去的，只有两拨人去，可以捞鱼玩水（老板送水枪和铲子玩儿）捞出的小鱼可以带走还有一辆孩子喜欢的公交车，有简单的秋千之类的设施，还可以看看小动物什么的，整体不是特别大，院子面前一块绿地拍照挺好中午烧烤食材是不限的，人少的时候店家的人会教你怎么烤比较好～因为太晒了，时间待的不是很长，感觉性价比不是很高					
魏小小鸟,今天几家人相约一起，自带食材，开启了我们的美食之旅，因为疫情，好多地方去不了，听人家介绍，第一次来，环境不错，孩子玩的地方没有拍照，光想着我们的美食了，从早上9:50到下午5:00才离开，孩子们虽然很疲惫，但依然依依不舍，期待下次					
予儿_7274,服务优质，品种丰富，场地挺好的
顾伯雯,带孩子去玩挺高兴的，就是天儿热的时候去烧烤有点闷热，但整体还是很不错的，孩子玩水玩的很高兴
不知道人,玩的少性价比不高感觉不值老板很热情老板娘有点冷。。。
谈小香,草坪、射箭、采摘、喂小动物…整个农场放养式放娃的好地方，吃得痛快，大人孩子都玩得开心
joybell,好玩，好吃，有意思，过几天再来烤串
钠小妞,很适合亲子来游玩，吃喝玩乐一条龙！
匿名用户,真的环境非常的棒，老板人很好，很友善，帮助每一位有需要的客人，自助烧烤非常赞。肉的质量很棒。吃的过瘾。
菩提胤,挺小的，没啥东西，也不是很好玩，大点的孩子都没啥可玩的，适合小小宝
桐桐M,去年10月去的，烧烤自助，很方便省事，环境特别好，干净有的玩，小动物也可爱，就是价格稍微贵了那么一点
匿名用户,孩子玩的都乐不思蜀了，采摘、喂小动物、充分享受大自然。
嗜吃的汪,很不错的地方，去过几次，共享花田的农场占地3万余平米，坐落于北京昌平凤凰山下京密引水渠旁，乃天然绿色氧吧，园内美若仙境，很有艺术感的农场，据说也是艺术家创办的，有其他农场没有的艺术感和美育方面的课程，认领了苹果树，有很多能参与的活动，能让孩子学到不少东西。					
yushan,下雨天和烧烤搭配满分！难得悠闲的午后时光，听着雨声，呼吸着新鲜的空气，吃着美味的烧烤，在配以手中82年的冰可乐，兼职幸福到爆。而且老板服务热情周到，不光吃了美味可口的烧烤，还学到了一首烧烤的手艺五星好评强烈推荐大家来玩。Ps：食材，炭火都是老板亲自选材给你不一样的烧烤体验					
