用户名,评论
呆米嘞,天气渐凉，娱乐活动少了很多，于是就想着去烧烤和采摘。这家农舍位于顺义近郊。在老板的建议下自己买了个某屋的套餐带过去，各种荤素烤串、新鲜的调理、干净的刷f子，甚至还有刷面包🍞的白砂糖和蜂蜜。这个季节人不多，体验感很好，老板给生的火，在炭烧好我们还在草坪上打起了扑克，阳光晒的人特别暖和。自己烤的串也别有一番风味。之后去了葡萄园摘🍇，每个人满满的一盒，回家吃了两次特别甜，就连青葡萄也很甜，随便摘就好。农场里面动物很少，不超过十只吧，特别一点的有孔雀🦚，鸵鸟，还有火鸡🦃，跟我想象中的“动物园”完全不一样。也就凑合看吧。					
我是司司,极少写评价，这次一定要写周末遛娃好去处！吃货的关注点都在吃上，老板种的精品巨峰一直是我和闺女的最爱，怀孕的时候就吃了不少，闺女眼睛又黑又亮！不知道是不是跟吃葡萄有关，哈哈哈～闺女能吃水果之后，别家买的葡萄都不怎么感兴趣，只有老板家的精品巨峰才能满足小主的味蕾由于是周日傍晚才过去，大部队都返城了，园子里很清净，不到两岁的闺女对老板家养的各种禽类很感兴趣，大公鸡、孔雀、鹅，还有一只鸵鸟！周日的晚饭，只有我们一家，跟包场一样，老板的厨艺也是相当赞，豆角烩面（大概是这么个叫法）更是得到了我家小主的接连翻牌其实园子里还有小滑梯、草坪、秋千椅，可以办派对搞团建，还能摘苹果、摘梨、挖红薯等时令蔬菜，无法一一体现在照片里，大家亲自去体会吧～～～					
xiyou6130,从大众点评选到这个地方，约了几个家庭一同去玩，车可以直接停到院内，老板特别热情，里面采摘都由店主跟着，估计怕小朋友破坏吧，孩子体验了挖红薯，摘葡萄，摘李子，还有一只大鸵鸟可以喂，院里有一个大草坪，孩子们可以在上面玩耍，拍照很美，如果吃烧烤需要提前预约，也可以带东西自己烧烤，很是惬意，院内还可以点餐，就是菜品比较少，有点遗憾，不过味道还可以，也比较干净					
潇潇很听话,特色体验：约了朋友一家五口，本来想带孩子一起去烧烤的，可能是因为疫情的原因，好多原来的店都不开了。临时决定，搜了大众，选了这家。提前一天和老板电话沟通，烧烤机会是没有了，每天只接待两组家庭，提前预约的～交通：跟着老板发的导航，我们住的近，挺快就到了，阴雨天气，路上车不是特别多推荐理由：小院子不是很大，我最喜欢的是他的名字停车位在院子的果树之间，错落分布的，果树上面结满了果子哦，还是挺好看的，没有采摘，不知道味道院子里面养了孔雀🦚，鸭子🦆，大公鸡🐔，像童话故事里的鸡舍一样，不知道是不是也有故事发生孩子们捡了旁边的草去给他们吃，老奶奶👵说都是自己家的母鸡孵出来的，好棒呀～带熊孩子们挖了红薯🍠，50元一米的距离，大概4-5颗红薯苗，对，贵了点，但是我主要没体验过挖红薯，所以其实是我想感受，徒手挖出来的喜悦，丰收了一样。想想农民👩‍🌾的庄稼。。。乐趣驱使我们愿意做的事情，如果变成了任务，是不是就没有了乐趣……吃了午饭，菜色比较少，味道还好吧，菜价略贵，我真没吃出来烤虹鳟鱼哪里好吃，点了个虾，并不新鲜了，还那么贵……玉米很好吃，就够了。整体还是挺好的，适合一天的时间安排的家庭，结伴出游，丰富而有趣。感恩遇见，生活的美好都应该被珍藏。					
patricia1122,位置：建议提前和商家电话沟通，了解具体路线，不要直接自行导航，可能会找不到入口。环境：很用心设计和规划的乡间农舍，总面积不大，但功能划分很清晰合理，有停车区、餐区、采摘区、活动区、mini动物园。服务：老板热情好客。用餐：现点只有农家炒菜，烧烤需要提前预约。价位：采摘略贵，但环境和服务对得起这价格。					
驍_8729,位置：在顺义北务那边，离汉石桥湿地公园非常近~交通：非常适合自驾游，下了京平高速北务收费站很快就到了。院内车位很充足。环境：这个是我最喜欢的一家农家院了，里边非常大。种了很多李子树，苹果树，杏树，还有可供采摘的花生地，白薯地，葡萄架等等。还可以喂自家养的鸵鸟，孔雀，火鸡。非常适合带着一家老小来体验。在院里还有一大片草坪，旁边还有滑梯，能让小朋友撒开了玩儿。餐厅：餐厅有室内有室外，都是非常干净卫生的。尤其是羊肉串和鸡肉串，真的太香了，但是烤串类的一定一定要提前预定。否则只能点餐，吃不上羊肉串。					
Miss晓元,很值得推荐的一家体验各种农活的小瓦舍，每年夏天都会选择来店里溜达一圈，因为个人极其迷恋店家的烤鸡腿肉和葡萄，葡萄有很多品种可以满足喜欢吃葡萄的你各种选择，小盆友可以挖白薯挖花生玩滑梯喂鸵鸟在草坪上踢球远离城市的喧嚣享受大自然带给孩子们的快乐，店家服务很周到老板很热情好客，餐品卫生可口，有二十个左右的停车位来晚了也可以停在店家门口的路边，就是吃饭要是饭点去需要耐心等待一下会，尽量提前预订哈，还可以预订烧烤店家提供食材很是到位					
是佑佑啊Vivi,偶然间发现的藏匿在一个村子里的采摘园～采摘园里有毛桃油桃李子西梅葡萄等。我们这次去的晚油桃跟李子已经过季了，停车上的桃子采摘的也差不多了，后来采摘园里的大哥带我们去里面的桃园采摘真的是很甜呀看着没那么红一开始还有点嘀咕，回来吃了一半了个个都多汁又甜，葡萄也是看着有点麻麻赖赖的，然后说可能还不太够时候呢，不过采摘了三嘟噜回家一尝也是挺甜的有点惊喜！那里还有鸵鸟孔雀家禽什么的可以投喂我们准备八月底再去一次据说那会儿的花生红薯什么的也都熟了可以挖了葡萄应该更甜了～采摘园的大哥大爷都很热心很纯朴。					
球球爱熊熊,前段时间就想来，因为是周末提前打电话想去烧烤，但是已经约满了～正好现在北京凉快了没那么热，赶紧提前一天打电话问了老板，随时可以去地方还是好找的，跟着导航就到了～因为是平时没什么人，只看见一家子在我们前面采摘就走了，吃饭时候只有我们一桌。菜都挺好吃的，食材也新鲜，稍微有点偏咸～环境是真好，孩子特开心，挖了红薯（50块钱一米，大概半筐）葡萄是30一斤，摘了三大串～巨峰很甜老板也热情，帮我们照了很多照片，很感谢～一家人都很好。下次带朋友来一起烧烤！					
Blanche,周末跟朋友以及朋友家小宝贝来这儿转转，特殊时期导航需要到村口：风华超市，健康码登记测体温才能进去，进入后再导航到这儿，大概几百米就到啦~院子里可以停车🅿️可提前打电话联系一下老板~服务很好，店家人非常热情朴实这里没有门票，是一个农家院，带孩子来不错，环境还可以，恰逢天气好，蓝天绿树，拍照角度📸很好看，能采摘葡萄、南瓜、玉米、桃子等等，还有小鸟、鸵鸟、大公鸡…可以住宿，有农家饭，我们是中午到吃了个饭，买了个鸵鸟蛋（好大一颗），下午玩了一会儿拍拍照就撤啦~					
