用户名,评论,评论时间
浮云心,交通:按导航过来就行，进了门口开一小段后看到很多种的树，左转向前开，没多远就是了。车可以停棚子旁边，方便取东西。特色体验:提供烧烤场地、桌椅、烧烤架、夹碳的夹子，30元一个人。在这里买碳30元一包，差不多够一次用的，为了容易着得配点固态酒精，5元2块。会给个垃圾桶方便扔垃圾。其他的所有吃的喝的自己带就行了。建议提前串好串带过来。调料一般可以到了以后装在一次性纸杯里，方便用。我们除了自己买的羊🐑后腿肉串的串，还买了大鱿鱼、生蚝、大、小腰子～脑子～鸡心～还把牛排切成块拿来烤了推荐理由:建议：带足球⚽、风筝、羽毛球🏸之类的，到这里空地的草丛可以玩～有个蹦床，孩子可以玩。转圈的一个游乐设备坐着如果有大人推也能玩。还有个喂小兔子的地方。可以自己带点蔬菜，过来喂兔子玩～见视频，把我们带的🍆，都喂给兔子了					,2021-04-02
*斯斯*_4322,场地费：30块钱一个人，包含桌子椅子，一个大烤箱，调料30元一份，炭火30元一袋，肉自己带，一米二以上的孩子正常收费，一米二以下免费，可以带小宠物，有跳床，孩子还可以喂小动物，算是场地费比较便宜的，有一块草坪可以搭帐篷，孩子宠物都可以跑跑，总体来说还不错，有兴趣的小伙伴可以试一试。					,2021-04-05
CURRY_4653,随着疫情防控的逐渐好转，终于可以出来烧烤解馋了，这里有一块不大也不小的草坪，可以方便搭帐篷和孩子们玩耍，这里提供烧烤场地，烧烤的餐食要自带，所以一定要准备充足了，不够吃的就真不够吃了！在蓝天白云晴空万里的天气下，来这里放松一下，还是很不错的选择！场地费是一人30元！					,2021-04-04
匿名用户,很大一个草坪，可以支帐篷，周围一圈是烧烤点，有帐篷和长廊，30一个人的入场费，免费提供炉子，碳是35一大包吧，夹子和烤网什么的需要单卖。有一个小卖部，冰棍儿饮料很全。小动物园里有兔子和羊，旁边准备了白菜可以喂食，不过最好自己带胡萝卜，比白菜受欢迎。碰床，旋转木马，攀爬架什么的夜有，虽然设备比较老旧。					,2021-04-05
emmakiki,周末约着小伙伴们一起去烧烤，老板人很好，有求必应～我们自己带的食材，有的没有提前处理，管老板借的盆，生火弄不好，老板也帮忙～这个地方很适合带小孩子来，有蹦床～草坪～转椅～大人也可以玩哦～关键是不限时，嘿嘿					,2021-03-31
茜茜0920,开春第一烤、原本定好的那家临时取消了我们的预约、还好又找到了这家、周六赶上有一波儿植树节活动的、农场里面显得很热闹、地方很大、有一个足球场那么大的草坪、可以放风筝、带宠物疯跑、边角还有小朋友可以玩的蹦床和转椅、来烧烤场地费30一人、包炉子不含碳、现场买炭的话30一袋、酒精五块钱俩、农场里还养了很多小动物、是周末聚会的好地方～					,2021-03-14
0小饭团0,去年春天去的可以烧烤、搭帐篷，还可以去喂小动物，一片大草地孩子们娜能撒欢跑，不过没有什么游乐设施，挺不错的，抬头看看飞机✈️飞过里面还有一打片菜地，可以自己承包种植，绿色健康，户外活动总是好的，疫情期间安全					,2021-03-12
紫梦依萱,我们是2020年5月去的交通：跟着导航就可以到了，进大门口的时候，需要扫码，登记，测体温！车可以开到场地边上特色体验：每家都是一个独立的小棚子，有一定的间隔，不用担心吵到隔壁。可以搭帐篷，铺垫子，有很大的草坪，小朋友可以很开心的跑跳。推荐理由：疫情期间自己带食材，碳火之类可以现场买，用不完可以带走，很方便。					,2021-01-10
aliece,嗯，在老婆怀孕8个多月的时候，天气好那时候是夏天，****我们就去了这个农场，去之前啊，专门打电话联系开不开门什么之类的，然后开门我们就去了，整体的环境还不错，反正就是主要是其实它的好啊，关键在于它的这个郊区的这种野野区，你要说各种配套设施有多齐全啊，什么小动物花有多好看，其实也没有它，它就是中规中矩，然后自由度比较比较比较高，什么东西你就自己拿就行，自己自己动手丰衣足食，嗯烤东西吃呢烤的还行吧，但是我也不是特别喜欢吃烤的东西，又是胡辣或什么之类的，其实也没特没啥意思，关键呢不是在吃而是在那个地方呀，就跟玩儿似的。					,2021-03-04
林銮,国庆前一天趁着人还不多的时候赶紧带着妈妈来这体验户外烧烤🤪顺着导航走就可以找到，需要把车开到里面去。天上时不时有飞机飞过头顶，离飞机非常近，好像是离哪个机场比较近里面有一块非常大的草坪，带孩子玩的话也很方便，旁边还有小孩子玩的蹦床，我都有种要进里边蹦的冲动关于收费💰人头费每个人30，给提供炉子还有场地，其他的都需要自己拿，碳火一袋是30加上助燃酒精一共35，或者有什么东西忘带的话也可以在他们家买，基本上是都有，就是吃的得自己带问了一下他们还可以采摘水果，只不过现在季节过了，要是六七月来的话会有这个活动🤒环境非常好，收费也比较合理，如果想体验户外的话，这里绝对没错					,2020-10-10
