用户名,评论,评论时间
食de味,第一次来体验摘草莓啦推荐理由：经朋友介绍，说刘师傅草莓园的草莓又大又甜，特来体验一下交通：地点在小汤山附近，距离市区还是有点远的，建议以家庭为单位或者几个朋友驱车过来，体验感比较好哦特色体验：这家草莓园有白草莓和红草莓两种哦，在第一个大棚采摘了一些，刘师傅又带着去了另一个白草莓比较多的大棚。想尝尝白草莓的朋友可以和店家提出来呢。tips：大棚里面还是蛮热的，想在里面拍拍拍的美少女们建议把外套放在外面，里面蓝色的顶篷、红色的草莓和绿色的叶子互相映衬，很适合拍照呢。建议穿颜色浅一些的服饰，更能出片。既亲近了大自然又拍了美美的照片，超开心推荐大家过来体验哦					,2021-03-18
匿名用户,看了点评决定带娃来这家摘草莓，来到之后果然名不虚传，草莓🍓的口感比外面买的好太多了酸甜可口，鲜美多汁，皮薄，果肉松软，品尝过一个后就停不下来了。主人是老夫妻俩，善良大方热情，还没采摘就让我们先自己摘品尝一下草莓的口感，采摘完了还准备草莓叶子让孩子喂小兔子和山羊。很愉快的一次采摘！下次还会去采摘。					,2021-03-13
大聪明lena,找了好几家都没有白草莓了问到刘师傅家说有点儿就赶紧去了草莓的品种是小白心是白的外面略红一点本来前两天摘的还没吃完想着摘个一盒尝尝就够了两口子很热情一个劲儿的让尝尝尝了之后发现真的很好吃摘了好几盒还教了怎么摘草莓真的轻轻一掰就下来了我们摘的是最后一点头茬儿草莓了个头儿都很大室外养了兔子鸡羊和鹅招呼孩子看看还买了点白鸡蛋🥚外壳全白回来煮着吃挺好吃的					,2021-02-20
吃喝日常,地理位置准确，在村子里。夫妻俩很热情，虽然我们没有采摘很多，但是也没有缺斤短两，确实像点评说的没有算筐子的钱。有三种草莓🍓甜度分别是隨珠＞白草莓＞红颜，白草莓里面是白色的香甜，红颜是酸甜，最好吃的就是空心的隨珠特别甜，如果再去我就摘隨珠。现在市里的草莓没有草莓味儿，这个季节采摘相对贵一些，但是味道确实不错。					,2021-04-03
三胖墩墩,到了一年一度的草莓季，我最幸福的时刻。约上姐们儿去小汤山采摘，搜了排名靠前的这家，就开心的出发了，从望京出发，开车不到半小时就到了，志玲姐姐导航到了人家家门口，给大姐打电话，由大姐带路，左拐右拐就看到了一排排的大棚，小路边停下，就可以行动了。大姐的那口子已经在棚边等候了，还热心的让我们尝了烤红薯。草莓50一斤，大姐一人发了个小框，教了摘草莓的方法后，我们就开始愉快的摘起来了，是红颜草莓，中途尝了一下，属于酸甜口味的，个头适中，没有硕大的款。一筐不满大概是三斤的样子。她家也有白草莓，当时说没多少了，我们就没去摘。采摘完，大姐说带我们去尝个白心的草莓，简直惊喜，比红色的香甜，于是让大姐帮忙摘了半框，我们每人分了点儿。价格和红颜一样，推荐摘白心的。趁着她们称重的空档，大姐带我看了刚出生没多久的小羊，超级可爱，还有鹅呀，鸡呀，小兔子啊，小朋友应该很喜欢吧。总之推荐大家去哟～					,2021-02-18
甜甜潘,冬天到了肯定要吃草莓呀，看首页一直推荐，评分还不错，果断开车去摘草莓🍓地方是在村里面，跟着导航走就行了，一排都是摘草莓🍓的大棚，不过是不同人家的，看准了棚号再进！我先打的电话，怕疫情期间关门了。进村扫个健康码就行。老板挺热情，我去的时候没人摘，刚进去一会儿就来了好几波人，还好棚大，而且很干净，看着红彤彤的草莓🍓太高兴了，摘了一筐回来，还买了点儿柴鸡蛋。农民伯伯不容易，不要一边吃一边摘哦，摘一个尝尝就得了不要乱丢垃圾！！！					,2021-01-03
豆豆lky,闺蜜相约孩子们一起来采摘，小汤山这边有很多大棚，根据评价我们选择了刘师傅这家。早上9点到的，还没人，正好就让孩子喂喂兔子，小羊，等人齐了一起进棚采摘。还是红颜草莓最多，味道甜甜的，个头都很大，还特别红，孩子们都争先恐后的拿着小提篮去摘，每个人都收获颇丰。现在是170元4斤，价格也还好吧，挺合理的。等我们走的时候开始来了很多人，以后每年可以来刘师傅家采摘了					,2021-01-23
snowfox414,交通：在一个村子里面，跟导航走就行，推荐自驾。特色体验：大过年的，草莓都被摘没了，初五去的太晚了，只能摘一些中果。来之前给老板打电话，老板已经告知了这些情况，所以没有低于预期，还算满意。推荐理由：老板、老板娘人都很实在，草莓也很甜。					,2021-02-21
Riddle他表哥,连续阴霾天气，周末终于晴一些了，就跑来采摘透透气。从京承高速下来就到了。大路口上需要扫码登记，车辆会被计时收费。目前可以采摘的草莓主要是红颜，还有部分隋珠。就个人而言，比较喜欢隋珠草莓，甜度要大一些。对外行人来讲，两者难以从外观上区分，只要咬开来看，中间有小孔的就是隋珠。因为更注重口感，所以采摘的隋珠多一些。尽管个头不大，品相也不周正，只要颜色红的鲜亮足以。摘了近8斤草莓，老板按照团购价计费，又去了零头还热情的送了6个家养鸡下的鲜蛋。					,2021-02-19
Weixin_3223536303,每年必打卡的草莓采摘园！去年因为疫情不让进村，就只能在外面买，今年终于可以进到棚里自己采摘了！也只有这家的草莓是能让我开一个多小时的车心甘情愿来采摘的！味道非常非常正！非常新鲜的草莓味的，而不是外面超市的那种一咬开都是空的。草莓个头大，肉厚，味足，无论是白草莓还是红颜都是回味无穷！跟朋友一人摘了一袋子走，路上就吃得差不多了！真的太甜！无论是什么形状的草莓，味道完全不差！草莓自由就这么实现了！					,2021-03-06
