用户名,评论,评论时间
mizukihajime,姐姐的孩子高考完了出来放松一下，因为疫情也不敢去海边，就近定了郊区的农家院。直接大众点评搜了十渡附近农家院，发现这家评论不错就来了，我们一行四个大人一个小孩不到120CM，算得四个人的钱，包吃住，按人头算的话最好的一点是可以分两间房子住，价格上也更划算。房间都是双床，除了硬了点儿没啥毛病。最近汛期下雨也多，略显得潮湿（我们买的鞭炮呲花都点不着，你说潮湿不？）不过他家住宿很干净。我们二楼可以通过窗户看到外面放烟花。我们中午到的，老板准备了丰盛的农家菜，还都很精致，有肉有菜的，搭配挺合理。早餐是粥，面食，酱豆腐小菜白煮蛋等。希望老板能给我这种无碳水生活的人一点活路～咱们来点豆浆啥的晚饭是烧烤自助，六点就开始了，老板提前生火分碳给大家，串是在冰柜里面自取。★★重点来了：★羊肉串超级好吃！大家要尝尝他家的羊肉，除了有点儿肥以外没啥可挑剔的了，火大点儿肥肉也超级香！特别嫩！★鸡翅也好吃不过很难烤，我是鸡翅爱好者，他家鸡翅没腌制过，也不爱吃酱，所以就烧烤料撒盐，也很美味，记得小火烤哈！我自己把它们串起来烤得！★鸡软骨好吃好吃！非常香哦！★鱿鱼好吃？！没理由！！不太好吃的：1.鸡心不好吃，不知道是不是因为我们这次去不新鲜了，反正鸡心一股怪怪的味道就是方便面调味料腌制过的那种感觉，不推荐，建议老板改成没有腌制过的！2.玉米串不好吃，可能大家都不吃玉米吧，所以放久了有股捂了的味道。3.田螺串，望而生畏…如果你想尝尝，拿一个就够了，而且它特别长，不好烤啊！4.鸡背软骨不好吃，太硬了嚼不动。中等的：鸡胗，板筋（提前煮过的）肥肠（提前煮过，怎么烤也焦脆不了，不过我是肥肠星人，觉得还可以）老板海哥很善攀谈，和客人们都称兄道弟的可以代购附近景点（除了蹦极）的任何优惠票，蹦极也能买，就是相对优惠的不多，家里的几只小狗狗特别好玩，还有一只大黑背，孩子玩的很开心，还说这个是她的新家，下次还要来，回家很久还在念念不忘。已经推荐给妈妈的朋友们了。以后有机会还会来的。					,2020-08-07
淘气小妈妈,与海叔一家相识八年有余，从最开始谈恋爱每年就都会和朋友来这边玩。海叔一家人见证了我从恋爱到结婚生子，现在每年都会带娃来海叔家吃饭玩耍。我们也见证了小院一步步地扩大，一点点的变化，越来越漂亮啦！老板一家都是老北京，要说为什么每年都来海叔家的话那肯定是各方面都让人舒心满意了！不管卫生还是饭菜口味，还是老板的个人魅力来到这里非常放松，吃喝玩乐都自在！以后还有更多的更多的八年！来看看小朋友在这里的美好回忆吧					,2020-09-09
妞妞_781449,位置很好找，院子在一片绿茵棚下，很凉快，院子也很大，可以自己带烧烤食物，付场地费即可。也可以在店家吃。食菜很新鲜，都是自助🉐。串不限，吃多少拿多少推荐理由：每年基本来两次，玩什么漂流，蹦极。一些娱乐项目。可以找店家胡哥直接买。有优惠，住宿也便宜。串也很全，时间有点早，不到饭点。没拍全					,2020-07-19
林豆儿_,去年中过一次霸王餐感觉超级好店里特别热心然后我后期跟身边人都安利他家地方挺大的提前预约看你的日期想住的房子大小项目什么的也挺多的开车最方便第二次跟好几个同事一起来的同事们也都特别喜欢推荐推荐推荐推荐推荐推荐推荐					,2020-10-12
机智的小姨妈,周五团券临时定的房间，很遗憾没有体验到店里的房，四个人被安排到了隔壁的隔壁楼住了；自助烧烤太好吃了，超出预期了，左右环顾了一下，发现大部分人其实都不会烤，老板还得一直帮忙；午餐还可以吧，四个人两荤四素，吃饱是没问题的，不过建议不要吃太饱，毕竟要留肚子晚上烧烤；送的碰碰车好玩，应该有十分钟吧，四个人玩的好开心，最后都飙起车来了～老板一家人很好，当天突然有工作借用了电脑很不好意思，真是怪不得店里这么火爆～～唯一上火的就是开了两厢车，被安置在了院门口，然后第四次挪车时不小心刮了自己车，心疼					,2020-08-17
辛建云,之前咨询说是不用预订，来就行，结果直接杀过来！没想到整院都住满了。大哥又帮忙给我们联系其他家，终于住上了。订了他家的套餐338一个人，包括住宿，三餐，一个玻璃栈道，一个高山漂流，一圈卡丁车，一圈碰碰车。我觉得挺值的！大哥人很好，很热情！晚餐自助烧烤，种类挺多！这就要考验你的烧烤功夫了					,2020-08-02
Shirley_Huo,十渡大海农家院，非常热情的老板。房间干净，饭菜可口。最主要的是住宿老板会给优惠价格的门票，比景区便宜不少，我们去了三渡的漂流特别刺激，老板帮忙买的票便宜了很多。晚上是自助烧烤，我们不会，老板娘教我们烤，特别开心的一个周末。					,2021-02-13
静净心,周末陪老婆和朋友一起去的十度，当时选的这家农家乐，包的三餐。非常赞，当天下午到的那里，出去玩了一圈，五点多回来就开始烧烤，大部分菜都是自助，只有鱼什么是要单付钱，哈哈烤了一个多小时才吃完~第二天早餐和午餐也都包，很合算。					,2020-09-01
吴大漂亮,风景可能就是一般郊区的山水样子。玩：去走了玻璃栈道，高空架桥没走，太远了，几乎爬到玻璃栈道那就走不动了，中间就一个魔毯项目（就是类似于飞机场里的传送带，倒着的那种）可以乘坐一段，其余都是自己爬，高空架桥那在山顶。下来有一个旱滑梯，废鞋和手，手套太丑。卡丁车还可以。吃：要吐槽一下，主要就是前一天夜晚的烧烤那一顿，其实也没啥。就肉串、豆腐等。早餐一人一个鸡蛋、馒头、一桌一盆稀饭、小咸菜。中午就桌子上的，味道不是太好。					,2021-01-25
打小爱吃素,200一间房，房间简单，卫生条件一般。午饭单点，真的不便宜，味道晚餐可以自助烧烤88元一人。也可以单点，羊肉串很小一串，卖5元一串。烤鱼100元一条。一小碗蘑菇炖鸡88元。羊排200元都是肥肉他家真的性价比不高，以后应该都不会再来了。但感觉周边这些民宿农家院应该都差不多这样吧。门口的小路搭了架子，结满了猕猴桃，还是挺漂亮的。					,2020-10-09
