用户名,评论,评论时间
dpuser_7353949927,哇哇哇很不错的小院子，草莓是又大又甜，老板热情周到，摘完草莓，老板带我们转院子，满院的花花，四季都会很美，迎春花、桃花都开啦，院子里还有其他水果售卖，有需要的话老板都会很热情的介绍，近郊好去处哦，夏天还可以来BBQ，喜欢这样的烟火气					,2021-04-01
*甘璐*,休息的时候正好带着孩子和家人一起去户外体验了一下摘草莓。在大众点评上看了一下，交通比较方便，自己开车去的，从昌平过去也就几分钟，正好他们家的价格也合适，现在在做团购。去了之后老板也特别的热情、给介绍了一下草莓的品种有红颜和奶油草莓、确实口感都还不错，可能我们比较喜欢吃甜一点的、然后就多摘了一些奶油草莓，他们家还有红颜，红颜的话就是酸甜口的。					,2021-03-23
我本善良0429,交通：在军都山滑雪场附近环境比较一般羊啊兔子啊都很脏，有很浓的臭味草莓都有点小，感觉像是别人摘剩下的，但是味道还可以吧店主让从最后摘，但从最后面摘很亏，越是后面草莓越小里面超级热，一定要少穿点但是和朋友摘草莓还是很开心的50一斤，最后砍了价，草莓倒是特别禁放，放了一礼拜都没坏，味道也还可以					,2021-03-02
邢菲_1640,非常适合带孩子去的采摘园，不仅草莓味道好，田垅干净整齐，孩子走着不会摔跤，还有小动物（兔子、羊、鸡）免费喂养，2岁半宝宝特别喜欢，喂得不亦乐乎，还追着看鸡老板很热情，价格公道，地理位置也比较好找，还有土鸡蛋和有机蔬菜，推荐！					,2021-03-12
匿名用户,周末跑到这边吃午饭，想着到了采摘草莓的季节了，又带着娃，所以决定餐后水果就是草莓🍓了！跟着导航顺利到达，没有预约，因为我们是12点左右到的，所以只有我们一家！院子里养着羊、兔子、狗、鸡，娃是相当开心，超级喜欢那两只肥肥的羊咩咩！草莓价钱略微比超市的贵一点点，我觉得还算合理！味道是我们喜欢的酸甜口，甜多酸少！随便摘摘就摘了10斤！好吃的草莓不怕多，这10斤两顿就被我们解决完了，娃还没吃够！找个周末继续……					,2021-01-02
水蜜桃果冻,草莓🍓很好吃，味很浓。不知道还有新鲜加成。还有土鸡蛋蔬菜卖。院子还有兔子和羊。从东边过去还是有点远，住北边的要吃草莓🍓就去这摘吧。比外面卖和超市买的真的好吃很多。就是厕所不是很干净，因为冲水不好用，					,2021-03-27
大思哥,要说昌平现在有什么可玩的，采摘草莓可是一个好主意，只可惜草莓还没有大规模成熟，采摘的人又比较多，所以只能少量的摘点尝尝鲜。提前预定好了这家，周末一大早驱车前往，按导航路线直接能到。进了大棚就开始采摘了，老板介绍草莓的品种是红颜，这应该是昌平区大多数大棚种植的品种了，口感香甜，颜色红艳。风卷残云般摘了8斤，买了点评上的代金券就可以结账。往里走还有散养的鸡鸭鹅和少量蔬菜可供出售，价格嘛并不便宜。					,2020-12-16
SErA_5114,本来是去昌平去泡温泉的，第2天就在周围转转，无意中发现这家采摘园，就会过来看看了！这家采摘园的草莓🍓品种挺多啊，红颜、奶油、什么的都有！而且性价比还是挺高的！他家除了能采摘草莓🍓还有柴鸡蛋🥚，至于柴鸡应该也可以买！有兴趣的朋友可以去看看！					,2021-03-03
Bigmomo0904,春节的时候去的，提前点评上联系了卖家，谁时可以去，从昌平县城过挺方便，距离也算近的，店家养了兔子羊鸡，可以免费的喂小动物，小朋友很开心，喂了会儿小动物去摘草莓，红的不是很多了，摘了滇红艳，摘了点奶油的（：不是很红，但很好吃，感觉比红颜好吃）还拔了点蔬菜。					,2021-03-09
匿名用户,推荐理由：对比了昌平附近四五家采摘园，这家价格公道（50元/斤）且距离昌平城区较近。主要有红颜和奶油两个品种，个头儿真的非常大！！个人比较喜欢红颜，口感更甜，奶油草莓的大棚拍照更好看～～一共10多个大棚～tips：建议大家周六去、最好上午去，人少草莓多～					,2021-02-23
菟爺r,昌平采摘大草莓四斤以上50一斤四斤以下60一斤他家的草莓大棚真的很多老板说可以摘到五月份里面有奶油草莓红颜草莓但是个人更喜欢吃奶油草莓红颜有点酸他们家还有很多蔬菜可以摘好像都是十块钱一斤而且这里还有小兔子小羊可以喂					,2021-04-03
葛妞妞宝宝,今天去昌平看雪，十三陵水库周边还有些积雪，冬天通往水库的路都关了，看了看景，到草莓园都已经快五点了，天微微黑。老板家人都超级好，先后进了两个园子，边摘边吃，以前去别的草莓园基本都盯着，也不怎么让吃，所以这次采摘得很开心，还借着天黑玩了一把草莓味沉浸版剧本，黑咕隆咚，除了手电筒啥也看不见。草莓很好吃，酸甜可口，老板建议平日去或者周六周日上午去，会熟的好一些。下周末再跟姐妹一起过来采摘。					,2021-04-01
小奶油miss,特别可爱的草莓园，两只萌萌的小羊特别亲近小朋友，草莓很甜，喜欢个头稍少的，味道更浓更香，采摘了蔬菜，萝卜蒿子秆小白菜荤香应有尽有。老板热情好客，以后会经常去玩。,2021-01-26
小娇A……,今天遛娃顺便摘草莓🍓还有好多新鲜的蔬菜还有柴鸡蛋🥚娃们还能喂喂兔子🐰和羊🐏都能满足玩欲..挺好下次来继续摘哈哈哈,2021-02-04
落落,好大的草莓🍓好漂亮真的好甜，大叔人也特别好，还有小羊和小兔子，还有好多明星来过这里采摘，大叔说这里是政府的草莓实验基地✌(̿▀̿ ̿Ĺ̯̿̿▀̿̿)✌,2020-12-13
小雨,草莓是4斤以上的40元一斤采摘价，草莓棚里很热，进去一定要注意少穿，我们三个大人带一个孩子，采摘前老板给发了两个篮子，我们自己为了方便孩子玩又拿了一个，出来称重的时候是将篮子一起称的，然后篮子也一起拿回来了，三个篮子大概一斤重，这个有点不值，所以在此提醒大家一定要注意不要拿那么多篮子					,2021-02-22
一半好夏天,头茬草莓下来了，问了好几家草莓园，这家有十几个棚，而且价钱公道，打电话约了，让周六赶早来。周六早上九点就到了，第一家，现在确实熟的不多，不过采摘还是没问题的，过两周下来的比较多，可以再来。团购200四斤，价格很合理，毕竟市区超市都是这个价格还没有这个好吃，后来去了大集，卖45一斤，顿时觉得采摘还是很值得的。除了草莓还有菜可以采摘，还有鸡蛋，有两只肥羊，很多鸡和鹅，两只小狗，小朋友可以看看。					,2021-03-29
言泽,从大众点评里找过去的，服务还是蛮周到的，草莓也不错，有好几个品种，院子里还有小兔子，小鸡、羊等小动物，很适合带小朋友去玩。他家还售卖自养鸡下的土鸡蛋，我们买了一筐，鸡蛋确实不错，煮出来的蛋红澄澄的，算是另一个惊喜哟！就是有一个小建议，摘草莓的时候，看管草莓的人一直跟着我们，感受不大好。					,2020-12-13
