用户名,评论,评论时间
肥牛仔爱吃牛,因为第一次孩子玩的太开心后来还又去了第二次！草莓又大又甜！！所以每次都忍不住摘了一大堆，回家怕坏还要疯狂吃。还有番茄之类的一些其他可以采摘的，但是我们去的不是季节，所以只摘了草莓。就是两次去的时候一开始都没找到人。除了采摘还有专门的儿童游乐区，里面有散养的小兔子。孩子每次都玩的巨开心，外面还有羊啊孔雀啊大鹅呀很多其他动物。一定还会再去的					,2021-01-30
尛玉,之前朋友推荐过这里，这次从房山回来特意去看了一下，之前电话咨询了一下有什么可以摘得，说有油桃，葡萄和好多蔬菜，到了发现主要是水果，绿叶菜只有一两种成熟的，葡萄50一斤，但味道真的不错，本来没想摘葡萄，结果尝了一个，就下手了……油桃也可以，小动物都关在笼子里养了，听说之前可以亲密接触，下次去希望能多些绿叶菜就完美了！					,2020-07-31
蓝人2014,开学前最后的疯狂～采摘～城里娃现在啥蔬菜庄稼都不认识了，带过来感受一下～看中这家因为这家有小动物～俩娃除了摘了菜还喂了兔子，山羊，孔雀。兔子现在不让噜了，估计也怕抓着或者细菌，喂了喂也行，喂山羊好玩～俩娃玩的不想走～蔬菜都挺好吃的，8块一斤，虽然比外面市场上贵但你还玩了呢不是～					,2020-08-15
莉治安,4月18日，本想在小清河边上烧烤的，可是现在管制不让烤了。开车沿着河边走了20分钟左右都不让烤。赶紧在周围搜能烧烤的地方。碰巧找到了这里，打电话做了预约，一到了人这叫一个多啊。自己带炉子、桌子、椅子只收人头费，大人20一位，小孩免费。如果用这里的用具单收费用。中途碰上了检查也不让烤了。但也快三点了，现在这季节估计都严查了，估计怕着火。					,2020-06-11
Mr.主演,地方其实还算好找，但是不进，如果头天下大雨劝各位第二天不要去，那边比较泥泞，进入采摘园，目测将近有二十来个大棚，有葡萄，香瓜，茄子，豆角等等，说实话蔬菜8块一斤比市面贵多了，阳光玫瑰也将近四五十一斤（但是还挺甜），要是为了图新鲜可以来，夏天一定要来的早啊，要不该晒吐露皮了，有个小圈养着山羊，喂羊倒是陪孩子玩了半天，整体来说性价比一般般，推荐指数三颗星					,2020-05-04
众生普度,房山郊区，不开车是不方便的，很多大棚，但是有些这个季节没有维护了有几只关在笼子里的小动物可以喂，这次摘的是葡萄，玻璃脆30一斤，美人指不是很甜，也30一斤，地里还有茄子，花生什么的，也都对外售卖性价比一般					,2020-08-15
伊川川,放在草稿箱里一直忘记写，这是一天时隔一年的点评……哈哈～说正经的吧，孩子生日组织小伙伴一起去采摘草莓，去年去的时候兔子可以随便撸，娃们各个都特别开心，采摘过程也是相当和谐，各摘各的草莓，把萝卜有点难度了，两个兄弟赶紧一起来，诶呦呦拔萝卜～					,2020-08-29
papaqiazi,一共二十来个大棚，在轻轨边上，过个火车很吵，没有农家乐的感觉，纯粹采摘，这个季节主要是葡萄和蔬菜，月底有最后一波油桃，葡萄一共四个品种，整体来说价钱挺贵的，最贵的阳光玫瑰（好像叫这个名）50块一斤，后来去超市看才40块一斤，可能是自己摘所以贵，但是大棚里面非常热，建议一大早去，摘完就走，我觉得最好一点就是距离小清河非常近，可以去钓钓鱼，专门去的话就没必要了					,2020-06-03
温柔桃豆爸,一直放在收藏里面今天临时起意拔了草刚到的时候路边停满了车原来农庄的另一边有条河农庄还算好找其实就是20多个菜棚组成的目前只有草莓和西红柿了挺贵西红柿15一斤采摘的时候一位老太太一直盯着感觉不好每条菜棚之间可以烧烤烟气比较大16号菜棚是个儿童乐园简单粗放加着旁边飘进来的烧烤烟气实在呆不住农庄里有孔雀兔子羊整体感觉一般					,2020-08-14
yjinuk,过程有波折最后要给好评！可以挖沙滑梯秋千喂羊看兔子看鸭子看孔雀摘草莓摘西红柿！！的遛娃圣地！可以烧烤人超级多！价格也合适！还有68一位的小火锅！蔬菜都是地里新鲜菜特别好！肉也很新鲜！唯一的波折是...有两户人在棚内烧烤！在我们吃火锅的棚里烧烤沟通就不出去气死我了！后来我气呼呼的去找店家解决！店家也是好不容易劝了他们好久把她们劝走了！然后空气清新棚内火锅还有秋千！超级爽！谢谢前台的小姐姐！下次还去！					,2020-04-13
