用户名,评论,评论时间
J得嘞刚,看点评推荐来的，带娃们来体验一下，打电话以为找好久其实小哥就着我身旁，进园前给我们尝了他家的🍑，太甜太好吃了。连我家不爱吃水果的孩子都吃的津津有味，吃完还想再吃，我们三个大人二个孩子采了二大桶几十斤啊，还买了点他家的坏🍑，小哥还送了好几个。我们去采摘的时候已经快是🍑末季了。来年一定要早点去采摘					,2020-11-01
四平1103,看了点评的专业推荐之后，也打了几个电话，货比三家，最终决定来这里！看来我的选择是没有错的，原本以为这个季节可以吃到我最爱的【久保桃】，但是心急啦，老板说久保桃要7月20日才能下来，所以我选择今天先买几箱，然后再来个回马枪吧~我觉得蟠桃，俗称扁桃，特别好吃，很有桃子嗯味道，几天一下买了4箱，大老远不能白来，老板还告诉我了保存桃子的最佳方法，另外每颗桃子都穿着“衣服”是为了不被虫子尝了鲜，其实就是防虫哒~总之今天采摘的特别开心，还买了几箱老板摘好的送人，这里高度总结一下就是~疫情的好去处！我没有选错地方！					,2020-07-07
汪大胖,夏天想要在北京体验摘桃子，那肯定是首选平谷地区，北京平谷是出了名的桃乡，全国都远近驰名-❣️项目：桃子采摘💰价格：7元一斤🍃品种：一共有两种，全都是可以剥皮离核的好桃子-采摘可以提前给老板打电话预约一下时间，可以合理安排时间，大概也了解一下过去怎么走。-📅时长：单纯采摘的话半小时，还可以在这里烧烤✅个人建议：只来采摘的话，大家衡量一下路费是否合适实在不行找老板直接发快递也可以，老板摘的桃子肯定比自己摘的好，我自己因为不喜欢个头大的桃子摘了好多不熟的					,2020-09-04
duplisterc,地址：他们有九块地，到了地址会有人守着然后打电话来人带着去附近的桃地。就开车两分钟的事儿。桃树：桃很好，水蜜桃，挺甜的。小伙子和**妈都特别会挑，我们自己摘的就比较硬，他们摘一挑就软。他们也给水洗洗桃吃，对自己的桃很自信另外，这边每个🍑都套袋子，为了给树打药不会粘到桃上面，绿色无公害小伙子也挺能聊，京津冀免邮费快递，周末一般摘桃的多，还搞团建，临走他们正好摘到一个特别大的桃还送我们了，祝生意越来越好					,2020-09-04
sweet_kelly,伴着小雨，带着孩子体验了一把摘桃子的乐趣，按照导航走，大概位置是久保品种的桃园，大门口没有任何可以分辨是哪家桃园的标识，按照点评上的电话给老板打电话，不一会儿有一个骑电动自行车的男士给我们领到了偏离导航的另一个桃园（大概开车5分钟）说他们是一家的，孩子很兴奋，进园子就要摘桃，幸好！！！孩子问我甜不甜，老板随手摘了一个让我们尝，看着不错，但吃起来一点水分都没有，特别面，园里有一位稍上年纪的大爷还算实在，他骑电动车，我们开车跟在后面，带我们去了另一个七拐八拐的桃园，这个园子的桃子看上去要好很多，又脆又甜，孩子摘得不亦乐乎。现在看来庆幸开始先尝了，要不摘了一堆无法入口的桃。					,2020-08-11
瘦瘦胖子,小朋友今年突然酷爱采摘，疫情以来平谷一直没有病例，又赶上桃子成熟的季节，采摘大桃成了遛娃的不二之选。桃园不难找，导航到商家在点评上登记的地点电话联系，就有人开车带过去。其实到那儿发现遍地桃园，感觉应该差不多。不同品种的桃子在不同的园子里，我们选择了酒保。在那儿尝了一个脆甜，口感不错，结果一下摘了二十多斤，回家放一个星期也并没有变软，但是口感已经如同棉花套子一般，吃一大口能噎个半死，建议大家少摘一些。另外，桃园不大，桃树不高，艳阳高照的天气园子里也是暴晒的，我们只摘了半个小时左右就匆匆离开前往石林峡，所以如果来平谷景点游玩顺便采摘还好，专程采摘就不值当了！					,2020-08-12
milanomi,有了孩子就不可能一直咖啡、餐厅、电影院啦～每到周末就是到处找适合小孩的亲子游乐场所，北京可以玩的地方还是很多的，延庆、昌平、大兴、顺义各有千秋，这周带孩子去的是平谷桃园采摘。🍑平谷离市区还是比较远的，从东四环出发开车一个多小时，大约有80公里。因为是第一次去，也不知道哪家好，就随便在大众上搜到排名第一的新宇桃园，但是去了才发现桃园很不好找，也没有门脸儿没有招牌，到了导航指导的目的地以后到处都是桃园，应该也差不多我们随意找了一家，因为去的时间晚，基本桃都被人摘的差不多了，但是别说平谷的桃确实名不虚传，就别人摘完剩下的那些也比超市里的桃子好吃太多了！摘桃的时候可以免费随便吃，带走的桃儿6元/斤，感觉还是挺实惠的。🍑孩子们在桃园里玩的也很开心，脚上套着袋子踩在泥土里边走边摘边吃，两个娃都抱着大桃一路啃，跟平时钢筋水泥的大都市生活完全不同，是一种带着地气儿的体验！🍑那边的桃园是没有餐食的，所以建议路线是：桃园-农家院，摘完桃在开车去农家院吃饭，听一拨游客推荐了立新农家院，菜品新鲜味道很好，而且上菜很快，点了荤素各种十个左右的菜6大2小一共花了300+。我个人感觉周末一家人带孩子去摘桃的体验还是不错的，除了稍微远点没毛病！					,2020-07-19
哇咔咔,桃花之后，桃子成熟，7到9月正是采摘桃子的时节，去郊外摘桃也真真是极好的。在北京，摘桃圣地那就非平谷莫属了。品种多，质量好。此时，放眼望去，又大又红的桃子挂满枝头，让人目不暇接。走进桃园，香甜的气息扑面而来，沁人心脾。闭上眼睛，做个深呼吸，整个人都觉得神清气爽。品种繁多，有油桃，有蟠桃，有大红九，红不软等品种。采摘园中就有水井，边摘边吃，夏日里，用甘甜的井水“冰镇”过的大桃更加甜了。摘桃子不是唯一目的，在游玩的同时摘桃子才是享受。何乐不为？走时也可付款把🍑带走，价钱略比小摊上的贵一点，毕竟新鲜自己的劳动成果					,2020-07-18
天使替我爱你,大众点评上搜到了这家，真怕去了没有想象的好，去了后首先感受到的是老板的热情，和点评的非常相符给赞。价格也很公道，个别不好的老板主动给挑出来。位置很好找，高德导航准确.想来的也可以提前打电话问清你想要的品种和现在有几种。我没有提前问，这个月份只有一种，有些遗憾。没有了我最想吃的久保。久保在7月20号左右下来，十天左右就没了。这个季节主要是水蜜桃🍑回来的路上买了些路边卖的蔬菜，冬瓜，山扁豆，西红柿，老玉米，黄瓜，茄子，价格真的很便宜，比城里新鲜还便宜更有机。美丽的大平谷，世外桃源，病毒绕着走					,2020-08-14
好吃不瘦,去丫髻山玩，想着顺便买点桃回家，沿途路边卖的摊位很多，久保一般就是5元/斤，蟠桃黄桃贵点。看了看都还行，品相不太好的或者已经有点软的基本就是1元1斤或者10块一大袋，20一筐，但是这种自己吃绝对没问题，装盒的适合送人。想着既然都来了，还是自己摘吧有点意思。点评了这家比较靠前，久保7元/斤说实话不算便宜了，个头一般，园子也不大树都比较矮在中间走要猫着腰很累…摘桃的杆子太长还不如直接上手方便。装盒的有黄蟠桃15元/斤…70一盒12个知道不便宜也带了盒回去给老人。其实家人每次来都是随便找个园子摘，5块/斤也倍儿好！哦，回来第二天正好去T11买菜，个儿更大卖相更好的久保6.99元/斤，黄蟠桃14.9/斤，没差别没差别…普通市场就更便宜了当然可能品质差点意思但是随吃随买方便呀，也不怕一天三顿吃的速度赶不上烂的速度。所以如果不是非要体验采摘或者大批量购买的，就没必要跑那么远了…					,2020-08-10
