用户名,评论,评论时间
tsy0322,交通：开车30分钟，方便。有停车场🅿️。特色体验：草莓🍓真多，大棚里面进去都是红色的🍓，进到里面就闻见了🍓的清香味道。而且草莓种类丰富，我们摘得奶油草莓🍓特别好吃😋特别甜。不用挑，一会儿就摘了满满一筐。老板人很好实在，还把筐也送我们了。他们家除了草莓还有蔬菜🥬蘑菇🍄等采摘，而且还有小动物可以喂啊！小朋友就特别喜欢💕除了买的吃的喂的还有玩儿的，我娃看见蹦蹦床就直接飞奔过去了……超级大个的蹦蹦床。					,2021-03-30
陈思阿阿,周末带娃去了位于海淀苏家坨镇附近的大自然草莓园，真是体验了一把采摘乐趣，重在体验生活的过程，宝贝儿沉浸在其中不亦乐乎，虽然很热很热但是第一次有了这样的体验好开心，非常值得，草莓的个头又大又红，拨开叶子看见底下藏着大草莓感觉像是挖到了宝，我们摘的都是奶油草莓，真的很甜很好吃。					,2021-04-02
自由,娃盼望已久的采摘之行终于在清明节假期实现了，邻居推荐的这里，离家还算近，开车只要一个小时，最最主要的是草莓品质好，味道特别好！体验感也不错，不虚此行！老板朴实厚道，耐心的讲解，娃玩得很开心，还喂了小白兔，吵着要再来！有机蔬菜也特别新鲜，几种草莓都非常好！满载而归					,2021-04-04
高山流水,赶上清明节放假，带娃去近郊采摘，选了来这里，是首都绿色有机食品委员会示范基地，各方面都挺不错的，店家很淳朴，热情好客，给我们介绍了几种不同品种的草莓，白草莓和在日本吃的一样好，颜值高，白色中透着粉色，口感很不错！其他几种草莓也都比市场买的口感好太多了，加上可以自己亲自采摘，体验感非常棒，孩子也玩的很开心，收获满满！					,2021-04-03
MY_甜心,🍓家附近很有规模的草莓采摘园，儿子一直吵着要去摘草莓、摘草莓。朋友推荐，这个地方是真不错的。老板很热情的，给我们介绍草莓的品种，有白色的草莓，很热情叫我们给孩子摘些尝尝鲜。大棚里收拾的很干净的，满满的都是草莓的果实，红红火火的，赏心悦目。摘着摘着就满了。自己摘的草莓🍓，显得额外的甜。还有蔬菜和蘑菇🍄大棚，叫孩子多看看大自然，是个不错的踏青好地方。					,2021-03-30
我有痒痒挠不怕痒痒肉儿,又到了草长莺飞的3月，必须安排一次草莓采摘了，园区里有的草莓大棚有很多，园长安排的很合理，大棚里的人不会很多，一边采摘一边拍照都会很舒服。孩子每次一摘草莓就很开心，半个小时就能给我摘满满的一筐，每次看到她摘草莓时小心翼翼的样子，就觉得这个调皮捣蛋的孩子内心里也会有如此温柔的一刻。					,2021-03-20
小發發,离凤凰岭非常近，天气好的话抬头就能看见山快到园子入口的路很窄，拐弯要注意停车倒是很方便，有个很大的院子可以停车草莓很新鲜，左手边的棚子里个头大，但味道略差些，倒是右手边靠后面个头小一点的很甜很好吃。采摘的价格真的是包括心情价值在里面，摘了12斤花了1000多，摘得倒是蛮开心，但是值不值就看个人感受了还有蔬菜和蘑菇可以摘，没有问价格。院子里有处园子，夏天应该是可以玩水的，现在里面关了只**，说是从山上跑下来的，第一次在动物园之外见真的**也算是开眼了篮子都是可以带走的，我们去之前提前打电话预约了时间和人数，想去的提前再电话问问要不要预约					,2021-02-14
*Pugss_5508,农场是专门做有机食品的，老板特别好，听老板说五月份的时候他们家隔壁的樱桃🍒也都可以开放采摘了，到时候再来玩，草莓品种各种各样的，我是平时来的人不多，听说周末的时候人会非常多，摘得多还有折扣，挺合适的，主要是好吃，来的时候正在安小孩的滑梯，为了周末给孩子玩，挺贴心的～					,2021-03-16
麒麟兽贤善善,团购了店家的券，又可以玩，还可以拍照，还可以采摘，简直是周末的好去处。这家园区有自己的停车场，很是方便。第一次亲眼见到白色的草莓，孩子很是新奇，味道上比红色的更清爽。摘了几筐，在回去的车上就有点忍不住想吃了。园区里还种了蔬菜，而且还单独的一个蘑菇棚，这就真的可以变成采蘑菇的小女孩了。					,2021-03-21
刘志卫_4052,凤凰岭抬头村口的采摘园，里面有很多的大棚，草莓的品种也很多，我们没有预约中午一点到的，也没什么人，价钱69-79，不同品种价格不同，我们采摘的11号棚和3号棚，里面草莓又大又红，完全出乎意料，两个小篮子没多久就装满了！他家还有蔬菜，价钱也不便宜，不过有机会带小朋友参观学习认识一下也很好！最后我们花了四百多买了草莓和一个大萝卜！					,2021-01-17
