用户名,评论,评论时间
夏夏不靠谱,已经是第二年来了，每次都来的二园。樱桃种类挺多的，黑珍珠和黄水晶最喜欢了。树枝分岔刚好爬起来方便。如果幸运还能找到园区给的大梯子，这样站在高处摘下来的樱桃也比较甜！很适合许多朋友来个野餐大聚会。人均90，除了在里面洗洗吃的还可以带出来2斤，感觉很划算了！					,2020-06-07
小树林里的歪脖树,给我们定位了另一个大芦荡，远了好多，早知道这么远都不来了，但店家说这个园是新开的，樱桃多，服务挺好的，环境也还行，就是树都太高太高了，有的我老公爬梯子都够不着，而且越是上面的越好吃，只能眼巴巴的放弃，小孩子进去比较兴奋，但是他能够得到的就更少了，进去之后随便吃，进门的时候带个装水的桶，可以洗洗樱桃，90两斤，我们采了4斤2两，一桶差不多就4斤了，店家也没说啥，就让带走了					,2019-09-16
吃吃睡睡,有地方停车，跟着导航走确实好找，园子还可以，挺大的，树也不少，就是果子真的不多，老板说年初倒春寒和前段时间大雨都损失了很多，但是说实话刚开园还是没想到果子少成这样，一个人90，含两斤樱桃，很多树没怎么结果子，转了第一圈，挑着摘也就摘了两斤，第二圈实在是没体力再都转一遍，找了两行，差不多的就摘，也就摘了一斤。出门称了一下，称的地方还没有摘好的樱桃，没法补重量，只能自认损失。所以个人觉得并不划算。环境上来说一般是因为里面还有工人在锯数，地上有时候会有树干或者树杈。整体感觉是一般吧，和前几年采摘差距太大。					,2019-06-04
sissi040312,公司团建去的～直接谈的团购价格～～不过去的日子有点晚了，大部分樱桃都被采摘完了～～只有树顶高出还有一些～红色的樱桃比黄色的好吃～幸好同行的同事又能上树的，帮着摘了一些～如果摘得分量不够，门口称的地方会给补足重量的～					,2019-06-03
人生的破折号,每年都会去的采摘园。樱桃种类很多，也很方便摘。卫生也不错。,2019-05-31
Gillzhao0603,六一儿童节去摘樱桃，还爬树了哈哈，童年回忆,2019-05-31
阁楼里的笛子,今天单位组织去采摘樱桃，选的大芦荡。。。。。老板热情的给我们推荐了二园，满树的果子，最喜欢黄樱桃了，紫色的也不错。。说是明天才？开园，今天先给我们尝鲜了。。。玩的很开心。。。,2019-05-25
钲再驽雳仲,今年采摘樱桃真是不顺，家门口的园子受灾没有果。网上搜了个大芦荡评价算好的，提前联系老板，说是二园可以采摘，受损比较小。果子质量还行，酸甜可口。服务态度很好。。。,2019-05-25
爱睡觉的猪,千万别去，樱桃没有，还不给退钱黑心老板，服务态度也不好,2018-12-30
一个足球迷,爸爸经常有券，所以经常来这里采摘。园子很大，水果种类很多,2018-10-23
爱团购super,就在家附近，夏天去采摘过一次樱桃。可以在里面吃够了，再摘点回来，不贵，值得一去,2018-06-16
大中华战神,院子不大，但是果子挺多的，一棵树就吃饱了，很好吃,2018-04-30
Sissi,上次和朋友一起去体验了一把、就是有点小贵了,2018-03-15
suexiukjung,这里采摘园也很多，适合家庭一起来，草莓不便宜,2017-08-18
幽冥朱雀,樱桃不错，有的樱桃特别甜，性价比还可以。第一次把樱桃吃饱,2017-06-27
夏夏不靠谱,已经是第二年来了，每次都来的二园。樱桃种类挺多的，黑珍珠和黄水晶最喜欢了。树枝分岔刚好爬起来方便。如果幸运还能找到园区给的大梯子，这样站在高处摘下来的樱桃也比较甜！很适合许多朋友来个野餐大聚会。人均90，除了在里面洗洗吃的还可以带出来2斤，感觉很划算了！					,2020-06-07
小树林里的歪脖树,给我们定位了另一个大芦荡，远了好多，早知道这么远都不来了，但店家说这个园是新开的，樱桃多，服务挺好的，环境也还行，就是树都太高太高了，有的我老公爬梯子都够不着，而且越是上面的越好吃，只能眼巴巴的放弃，小孩子进去比较兴奋，但是他能够得到的就更少了，进去之后随便吃，进门的时候带个装水的桶，可以洗洗樱桃，90两斤，我们采了4斤2两，一桶差不多就4斤了，店家也没说啥，就让带走了					,2019-09-16
吃吃睡睡,有地方停车，跟着导航走确实好找，园子还可以，挺大的，树也不少，就是果子真的不多，老板说年初倒春寒和前段时间大雨都损失了很多，但是说实话刚开园还是没想到果子少成这样，一个人90，含两斤樱桃，很多树没怎么结果子，转了第一圈，挑着摘也就摘了两斤，第二圈实在是没体力再都转一遍，找了两行，差不多的就摘，也就摘了一斤。出门称了一下，称的地方还没有摘好的樱桃，没法补重量，只能自认损失。所以个人觉得并不划算。环境上来说一般是因为里面还有工人在锯数，地上有时候会有树干或者树杈。整体感觉是一般吧，和前几年采摘差距太大。					,2019-06-04
sissi040312,公司团建去的～直接谈的团购价格～～不过去的日子有点晚了，大部分樱桃都被采摘完了～～只有树顶高出还有一些～红色的樱桃比黄色的好吃～幸好同行的同事又能上树的，帮着摘了一些～如果摘得分量不够，门口称的地方会给补足重量的～					,2019-06-03
人生的破折号,每年都会去的采摘园。樱桃种类很多，也很方便摘。卫生也不错。,2019-05-31
Gillzhao0603,六一儿童节去摘樱桃，还爬树了哈哈，童年回忆,2019-05-31
阁楼里的笛子,今天单位组织去采摘樱桃，选的大芦荡。。。。。老板热情的给我们推荐了二园，满树的果子，最喜欢黄樱桃了，紫色的也不错。。说是明天才？开园，今天先给我们尝鲜了。。。玩的很开心。。。,2019-05-25
钲再驽雳仲,今年采摘樱桃真是不顺，家门口的园子受灾没有果。网上搜了个大芦荡评价算好的，提前联系老板，说是二园可以采摘，受损比较小。果子质量还行，酸甜可口。服务态度很好。。。,2019-05-25
爱睡觉的猪,千万别去，樱桃没有，还不给退钱黑心老板，服务态度也不好,2018-12-30
一个足球迷,爸爸经常有券，所以经常来这里采摘。园子很大，水果种类很多,2018-10-23
爱团购super,就在家附近，夏天去采摘过一次樱桃。可以在里面吃够了，再摘点回来，不贵，值得一去,2018-06-16
大中华战神,院子不大，但是果子挺多的，一棵树就吃饱了，很好吃,2018-04-30
Sissi,上次和朋友一起去体验了一把、就是有点小贵了,2018-03-15
suexiukjung,这里采摘园也很多，适合家庭一起来，草莓不便宜,2017-08-18
幽冥朱雀,樱桃不错，有的樱桃特别甜，性价比还可以。第一次把樱桃吃饱,2017-06-27
自由虎斑咪咪,挺便宜的一家樱桃园，在点评上团券，80两斤一人，超过两斤，按25一斤卖。价格还是很实惠的，不过端午去的时候，感觉樱桃已经摘的差不多了，或者说好吃的树上真的是干干净净。而且要摘小树上的，貌似新栽的小树品种比较好，感觉大树上的酸，小树上的甜。希望能够改良一下品种，多种甜的。					,2017-06-13
seasons1001,一次不太好的体验。樱桃果期已经快结束，烂果和残果接近一半，每棵树上只有树尖上有十几颗，问服务人员借梯子也不给。三个大人摘了一个半钟头才摘了四斤。天快黑了加上称重大妈各种不耐烦，只能用门口充数的小果勉强凑到六斤。大妈说话还各种噎人，……记得以前上你家草莓棚采摘时服务挺好的，这次真是好感耗尽有待充值。建议老板以后多多培训员工，好好改进这种“不差你一个客人”的想法。					,2017-06-07
