用户名,评论,评论时间
莱格宝儿,"大兴庞各庄崔鲜生采摘。导航去的，东三环到那边不到一个小时，回来一点都不堵，半个小时，很方便。单不说有没有果蔬可以摘，就是去这样的一个地方逛一逛看一看，心情都是很美好的。要是存着心要摘瓜果蔬菜，就一定周末的早上早早的去，据说一早上和一上午都被抢光了。我们2点过到只能摘西瓜，5块钱一斤，当场吃了一个，脆嫩多汁，好甜好甜的。逛了一下周边的大棚，貌似只有这一家人最多，特别明显，据说是它的宣传和线上的营销做的好。不过年轻的小两口老板确实能说会道，CRM能力很强。下次可以再去逛逛。					",2020/5/24
威利妈咪,"一直想来大兴庞各庄摘西瓜，正好在抖音上看到的崔鲜生，周末就带儿子来体验一下。他家蔬菜西瓜都有西瓜脆甜，棚子里有点热，每个西瓜都有标记，只能摘红色和黄色绳子的，因为已经成熟。黄色的柿子很少见，柿子味很浓。西瓜5块钱一斤，蔬菜西红柿是10元一斤，价钱不便宜，就是让孩子能够体验生活，懂得珍惜劳动所得。					",2020/6/7
一二三四五六小姐姐,"认认真真写点评#跟着导航走，七拐八拐就到了，西瓜不贵¥4一斤，跟市场差不多价格，孩子玩的非常开心，3岁半可以自己剪瓜，瓜很小，完全可以孩子自己拿，还有两个大棚是蔬菜，西红柿🍅黄瓜🥒辣椒🌶️茄子🍆刚好让小朋友认识一下蔬菜如何生长的，老板娘夫妻俩人很好，你说要尝瓜，就给你切，虽然不是主动让大家品尝，人着实是太多了，门口有个小水池给孩子们钓鱼玩水用，整体不错，还会选择来这里					",2020/6/5
ZSZC,"已经开始营业了，人还很多呢，五月底刚去过，百度地图一搜庞各庄采摘就是他家了，顺着导航过来，门口有停车位还不错，可以自己采摘，瓜五块一斤，蔬菜五到十元不等，西瓜没让品尝，九点多到的，大棚里的温度得有四十度，店家说早上五点就开门了，要摘最好早来，最后两个棚有蔬菜，小西红柿特别好吃，酸甜味浓，也有摘好单卖的瓜，统一价五元，瓜回去吃了真的很甜，就是皮太薄容易裂					",2020/7/1
妥妥的吃,"这家可以强推一下，因为是我近几年去采摘里面，除了西瓜其他菜品最多的地方。光西红柿就好多个品种，大棚也很多。摘完了在那洗了一个吃，老妈说不是催熟的味道很不错。黄瓜一个个顶花带刺的，光吃这两种就解饱了吧。本身是休园因为大老远过去了，所以老板人很好，也让进去了。这家也不会像别的地方使劲看着，全凭自觉。别给人家乱摘，别浪费，这是最起码的素质。我就进去看着小老弟，别让他踩着别人秧苗就行了。全摘下来价格也可以，也没乱收费。门口还有小朋友玩具，还可以歇歇脚。事越少生意会越好，和气生财嘛。从老七几个月就抱着他进草莓棚开始到现在，他也规矩多了。知道哪些不能摘哪些不要浪费。每年除了苹果，西瓜，葡萄，草莓，桃子，以后采摘蔬菜这个地方可以再来。毕竟来玩为了心情，这可比好多像防贼一样防着的地让人舒服多了					",2020/6/2
謝小宇,"刷抖音看到的看评价超高导航过来的导航位置很精准一路两边都是大棚唯独到他家门口挺满了车人很多生意很好老板是夫妻俩都是80后沟通无障碍人很好细心介绍各种品种的西瓜26种西红柿品种蔬菜品种也很多环境不错而且很卫生可以洗手也有卫生间采摘完在大棚下乘凉抽根烟大电扇吹着挺舒服西瓜可以品尝味道不错特甜西红柿有好多没见过的品种味道都不错价格便宜性价比超级高					",2020/6/26
7鈖隞氣,"开车过去的，一路导航，导航位置很准确，按着导航走就可以了我们九点半到的，人已经很多了，先去摘的西红柿和黄瓜，可能这日子口去，大多数已经被摘完了，我们进大棚里黄瓜没有几个了，西红柿倒是很多，品种也挺多的，有的品种好吃，有的就一般了。摘下来直接擦擦就吃，找到了小时候的感觉。西瓜上面都系好扎带了，进去之前告诉你哪个颜色是成熟的，看颜色剪下西瓜就好啦。结账的时候，老板会在检查一遍西瓜好坏，如果听着声音不好，会给你换一个，不让你带走一个坏瓜。门口有几个儿童的玩具，捞小鱼之类的，好多都是带孩子去的，采摘完了，结账的时候孩子就开始玩起来了。					",2020/6/13
Summer,"交通：按导航走下了庞各庄收费站在开个两三公里就到了，他们自己标的地址十分准确特色体验：第一次来这里，带着我的小卷毛，庞克庄的西瓜是出了名的好吃，决定自己采摘，6块钱1斤的西瓜，滕上有标记黄色和蓝色的绳子是熟透了的西瓜，老板会给你准备好小篮子和小剪子告诉那个棚里的可以摘取！还有各种蔬菜，比如，黄色的西葫芦，白色的茄子，还有各种品种的西红柿等等！可以让小朋友自己动手操作，体验一下生活！很棒的地方推荐理由：蔬菜是和市面价格差不多，值得购买					",2020/5/15
yoyoyo,"☀️这个采摘园有一种发现新大陆的感觉一个月去了5.6次难道还不能说明问题我是没见过比这还精心用心的老板了关键老板人还特别好接地气也很健谈🌼西红柿🍅老板种了20多种真的是可以当水果来吃不好吃的品种老板都没种无比追求完美💯黄瓜都已经进我肚子里了忘记拍照了不要炒菜不要凉拌必须生吃不然浪费🍆还有茄子青椒辣椒菜花秋葵…蔬菜很多关键真的好吃每种都是精品更是艺术品🍉最后不得不说说西瓜了好吃🍬真甜在外面你很难买到的品种基本没有我一个不吃西瓜的一天得吃半个瓜老板家里西瓜都种了30多年了还有比这更专业更专一的了吗？包装贴纸海报全部老板亲自设计的呢吃完崔老板家蔬菜和西瓜我敢保证你想天天去买着开心吃着放心身体健康还有比这更重要吗？📍🛒不得不说这周我已经去过了期待下周我与你在采摘园里偶遇哟					",2020/6/6
落落茜,"夏天想吃好吃的西瓜，一直买的不是很理想，于是自己摘去吧，在著名的庞各庄开车还是挺方便的，很快就到了，附近都是摘西瓜的大棚，但好像也就这家很火，门口都是车先了解了下价格，西瓜5块一斤，西红柿10块，其他蔬菜8块拿着小筐带着娃去了，大棚里特别热，感觉得40多度，娃最喜欢西红柿，于是多摘了点，蔬菜类，黄瓜感觉熟的少，茄子看着不错西瓜按老板说的绳上的颜色摘，因为太热了赶紧摘了4个就走了结账处人不少，等了得有一刻钟，边上有两只兔子可以喂，还有大水池里有塑料鱼可以让娃捞着玩					",2020/6/14
有所谓吧,"早就听说庞各庄的西瓜有名，现在是第一茬瓜成熟的时节，赶紧来打卡。害怕跑空，去之前给老板打了个电话。一过瓜乡桥就能看到路边很多卖西瓜的商贩，老板说那都不是本地的，很多都是山东来的，正宗的庞各庄小吊瓜是直把。老板带着我们进了瓜棚，上面绑着黄色签的就代表成熟可摘，往里走有两个蔬菜大棚，种满了西红柿、黄瓜、茄子，只不过现在熟的不多，得好好找找。西瓜9块一斤，西红柿10块，我们摘了五个瓜，几个西红柿，一共200。不算便宜，但是瓜真的好吃，超甜超新鲜。是个周末游玩的好去处～					",2020/5/13
飞鱼再升,"我觉这家店在大众点评上高评分真不是徒有虚名，老板娘确实是热情之中透着爽快，交流起来很愉快，有问必答，关于采摘方面的细节都能给点出来，采摘不踩坑，顺利不紧绷大棚里面挂红签的是可以采摘的西瓜🍉但是不多了，因为前两天周末被摘走不少，西红柿🍅熟的还挺多，西瓜6块钱一斤，西红柿10块钱一斤，看起来似乎不便宜，但是你去地里采摘时就知道为什么了，有些西红柿还没成熟会因为采摘时被碰掉了，多少会有一些损耗，还有西瓜大棚外面扔掉好多掐下秧的小瓜蒂，小小的没有熟就被抛弃了，因为这样可以提高挂果的质量，小西瓜才会茁壮成长，也不会互相抢养分。我有机会一定会再来，确实是家不错的好店					",2020/5/20
Lisa_867,"又到了西瓜成熟的季节啦！忍不住流口水，所以又跑到庞各庄，这里是北京西瓜采摘聚集地，有很多采摘园。庞各庄西瓜也是用它的清脆，爽甜在这几十年间打出了金招牌。所以随便选一家瓜园基本都不会踩雷。崔鲜生瓜园不小，好几个大棚，吊秧西瓜5元一斤，皮薄籽小。还有西红柿等蔬菜采摘。养的兔子也很可爱。有孩子喜欢的钓鱼玩具。					",2020/6/13
南城七哥,"开车到庞各庄准备去踩瓜，无意中发现了这么个瓜棚宝地！老板地道北京小哥，特别低调的告诉我们，咱家五一来人多了，你们进去看看可能还有少量成果…不过当走近棚区发现我勒个去那么大那么多…进去还真是跟着建议找了一些黄色标记的成瓜，然后隔壁几个棚还有新鲜的西红柿，茄子，尖椒，甜瓜，主要是西红柿就好多好多种，各种不同，一下就有了新鲜感！最终小哥介绍了家里一宝就是这个大葱哈哈哈果断提上铁锹，让小哥帮忙锄了十几颗！从来没吃过这么好吃的大葱，爽脆发甜！带家人郊游可以选择。点赞…					",2020/5/11
雨点amy,"这已经是我们固定的采摘点儿了。今年头一茬西瓜又可以摘了，利用周末赶紧过来，可惜来晚了一步，到棚里一看，今天能摘的西瓜，西红柿，豆角都被早上来的人摘光了，生意简直不要太好了呀。我们跟老板已经很熟了，就让老板从他自家摘下来的西瓜里面挑了几个带回来。到家就迫不及待的打开一个尝尝，还是原来的味道，西瓜味儿非常浓郁，绝对是消暑解渴的首选					",2020/6/6
