用户名,评论,评论时间
拥抱的幸福11,在大众上搜的地方，离老妈家比较近，大兴西瓜不用宣传，一个棒！这家采摘价格可以接受，商家也非常热情，有试吃的西瓜，沙甜沙甜的，还有其他蔬菜🥬，能一起带走，西红柿也不错，没洗就吃了一个。推荐这家采摘，大家可以放心的去。					,2021-02-26
坏元元,周末带闺女采摘这家算种类比较多的了就是离家远点开车大概一个小时赶过来门口路边停了一排车听老板说上午人多下午相对少点老板主动介绍品种和价格然后会带你到相对应的区域花生萝卜白菜玉米豆角茄子黄瓜葡萄西瓜南瓜基本就这些吧葡萄15一斤剩下的5元一斤葡萄不错很甜还没有核全程工作人员的服务态度都很好笑脸相迎笑脸送客以后还会来					,2020-09-19
minnic870118,带着姐们家孩子去释放精力，这里的蔬菜和小西瓜都是5元一斤，价格真的算公道的，菜园的大姐带着我们一个棚子一个棚子的介绍，真的很负责，出来结账发现了烤白薯，10元一斤看的流蜜，真香，正好出来一个西瓜被我们整裂了，就让大姐帮我们切了，里面没红透，但是真甜。					,2020-10-12
dpuser_21242153515,采摘基地可以摘菜，采摘西瓜，总体来说菜品比较丰富，价格公道实惠，满足娱乐休闲的同时，还带回去一大车新鲜蔬菜，够吃好几天的。给老人送去一些，全家人都比较开心。里面的老板很热情也很实在，都会让你挑好的，还会有些讲解，还会再来的。					,2020-09-17
扣儿妈,夏天来这儿采摘特别好，大姐人也很好，西瓜真的不错，采摘后还线上继续买，一次一家三口吃一个小西瓜不会太多，品种好、味道甜，真的很不错大家周末自驾游带着家人来是不错的选择，让孩子体验一下摘西瓜的乐趣真好！					,2020-10-16
糖豆儿,不来不知道原来茄子是这样的啊哈哈哈他家现在这个时间有茄子柿子椒再过一个月葡萄和老玉米就差不多了他家老玉米特别高下个月一定再来看看哈哈哈秋天扁豆就有了西瓜已经没有了都摘好了直接买吧很甜很好吃位置很好找老板人很好					,2020-07-31
阿狄901,在白各庄公园里面，有摆渡车到。面积不是很大，从门口走过去也可以。路上还可以看看风景。里面的采摘品种很多。价格相对采摘来说还可以。主要是带孩子玩儿。通往采摘园的路上都是风车和卡通墙画。孩子们一起照相不错。					,2020-08-30
dpuser_1630010565,时隔一年，陪丫头吃完自助餐，临时决定去采摘西瓜，结果快两点才到，蔬菜都被采光了，摘了四个大茄子，西瓜也只有大姐摘好的！买了六个瓜，赶紧开车回家，好好休息了！等过两周蔬菜和香瓜都成熟了，天气如果凉爽再带孩子去吧！					,2020-10-20
fy19771102,茄子🍆花生🥜都是5块钱一斤，价钱不贵菜还新鲜，西瓜葡萄🍇也都好吃😋带着一个怕虫子的孩子来采摘，简直就是让她来参观我农业劳动的……,2020-05-31
晶晶zzz,五一当天一大早第一波到，还没到大规模成熟的时候。带着小孩过来玩一玩，主人热情的介绍了西瓜的养护方法，种植起来不容易呀，西瓜到家就开了一个，挺甜的。后面大规模熟了再来,2020-05-22
shally1028,成熟的表现是什么呢？答：想开了。,2020-08-27
ELLIEN00,西瓜蔬菜一律五块啦天气很热，老板很热情，瓜很甜很沙大棚里有茄子扁豆黄瓜柿子椒辣椒大小西红柿等等,2020-06-10
匿名用户,别的不用说，3串葡萄100多？4个小西瓜70多，加钱无所谓，4个西瓜3个坏的，可真行，大老远过去给我来这个？？？,2020-09-04
快看这里有好吃的,蔬菜水果的种类很多，价格也便宜，我们买的摘好的蔬菜，全部5元一斤,2020-06-10
快乐克,没有介绍的那么好，令人很失望。接待服务不热情，爱搭不理的，还斤斤计较。瓜皮厚且不甜，价格没商量！扫兴而归(去了其他瓜棚)。,2020-06-18
土的掉渣儿_2777,这家采摘农场是网上搜出来的！在大兴区，蔬菜为主，最主要都是不用农药的！所以第一次去就买了很多，而且好多年，每年采摘季多会去这里！黄瓜，柿子椒，辣椒，茄子，白菜，绿萝卜，红萝卜，胡萝卜，玉米，毛豆，大葱，西葫芦...西瓜，葡萄。种类每年都点差别但是不大！自己采摘，有乐趣，东西带回家吃，很安全！孩子特别喜欢这的东西！另外他家还有蜂蜜，也很棒！值得推荐！					,2020-09-05
晖晖,真的很好玩！虽然天气已经冷了，但是可采摘的东西还不算太少。孩子和大人都玩的挺开心，开车位置很好找。采摘了很多东西，花生、萝卜、柿子椒，辣椒，玉米、黄瓜、茄子。价格也不算贵，5元一斤。店家人很好。很热情。孩子小，第一次体验下地采摘，也顺便给他讲了农作的辛苦，让他不要浪费吃的。采摘完，店家还有卖烤白薯，真挺便宜的。20元6块。很好吃，很甜！等天气暖和了，还去玩！					,2020-07-14
