用户名,评论,评论时间
冲呀,带娃过来采摘，来大兴这个大棚是很好的选择。每年都过来一次，主要是让小朋友一起玩耍一下。这次来还听说这里有葡萄，去棚里看了看，拍照还是不错的，哈哈。草莓是50一斤，个头大味道不错，适合过来溜娃，开车和停车都方便。					,2021-01-29
dpuser_6113272444,进门可以试吃，但是进里面采摘就不能边摘边吃了。没砍价，直接180四斤，确实很好吃的红颜草莓，大棚里也不是特别热那种，带着孩子从头走到尾，摘得很开心。出来开车一路娃都嚷嚷吃....真担心闹肚子，还好到家也没事，下次再去可以带点水，买完了洗干净了路上就能吃了老公给的评价是快赶上日本的草莓味道了。嘻嘻，评价很高哦个头大的也有，长变形的也有，我们挑的基本是个头匀称，全红，不变形的。就孩子看着好玩，最后摘了个奇怪的，回家给娃爸吃了。					,2021-02-04
京鑫_5808,这个草莓园采摘还是可以的草莓的个头都不小，离市区也不算特别远，主要是孩子特别喜欢，现采摘的草莓肯定是味道最好的，下次有机会有时间的时候再带着孩子过来采摘，希望老板多推出点活动或者是优惠信息，那就更好了					,2020-09-18
冰722,清明小长假的最后一天，去呀古路玩回来顺便去摘草莓，距离呀古路大概七八公里的样子，实在是没抱太大希望有什么好草莓，结果进了草莓大棚出乎我的意料，草莓超级大个，品种是红颜，40一斤价格还算公道，摘完出来连着筐一起称重。					,2020-01-12
CAREDOWNCOOL*,这个时间去，草莓🍓自然价格稍稍高一些，50元一斤，可以把筐一起带走，当时还很高兴，后来想不知道称的时候有没有除去筐的重量不过没关系，带孩子去开心就好。果比较少不能随便尝呦！但是老板很好，吃一两个还是没问题的！隔壁大棚还有蔬菜，都是5元一斤，采摘就这样，价格一定没有市场优惠，但要的就是新鲜劲啊！我买摘了香菜、生菜、菠菜和芹菜。昨晚吃了菠菜，味道很好，我喜欢吃菠菜靠根那稍红的部位，有淡淡的甜味，有一样的小伙伴吗？总体还是值得一去的，带孩子多感受大自然，看看大鹅					,2019-12-28
dpuser_6992420082,去采摘了草莓和提子，草莓一般，价格偏高，里面很干净，有人随时跟着，不能吃，不过孩子偶尔吃一个也不碍事的。提子很甜，娃喜欢，价格比外面的1.5倍，但味道不错，以后有机会还会去的,2019-11-17
别问我是谁,地方比较好找，草莓味道也很好，就是品种少了点,2019-09-04
薄荷冰糖,去年就带着孩子来摘了几次，今年刚开棚我们又来了，今年的草莓又大又甜，服务特别好还为小朋友们准备剪刀！今年还有新产品葡萄采摘，虽然我们没有摘，但是老板送了我们一些尝了尝，闺女说比西红柿还甜,2019-07-31
Sue_9615,[推荐理由]非常划算[交通]停车位很多[特色体验],2019-06-21
明天会是晴天么,飘过点赞可口可乐了看看卡啦啦啦啦卡啦啦啦啦啦啦啦啦,2019-05-15
小米爱上土豆丝,交通非常方便，从崇文门出发一路顺路向东南，很好找,2019-04-20
summerblue111,每年都来摘草莓，去的早的话人特别少，草莓味道很好。大人和孩子玩得都很开心，一次又一次的完美亲子活动。,2019-04-08
dt345345,来的有点晚，大个草莓都被摘完了快。zzz刚采摘的草莓是真好吃,2019-03-16
平_656222,草莓味道不好，塑料味很重，孩子吃一口都恶心吐了，摘着玩还行，少摘一些,2019-03-14
溜肥肠溜肥肠,今天去的，不是周六日，人很少，草莓又大又甜，周六日估计人就会很多了，还是建议非周六日去,2019-03-11
雾都少女_9566,下午一点多到这里，棚里没什么红的草莓，本想着采摘的也不会差，就没有尝。走到最里面摘了多半框。草莓也不大。尽量摘的红的。刚到家就喜来吃了，不甜，一股要烂了的味道。特别像是催熟的。之前也来过不会这么差，不知道这次为什么会这样，价格也不便宜，五十一斤，花了一百五吧，还不如在超市买的好吃！极差的体验！					,2019-03-02
超超小巫婆,同事推荐的，和小朋友们一起去的，地方很好找，草莓大棚很多，环境也不错好停车，看棚的是个大爷，真够横的，小朋友进去摘难免会吃一两个，看棚的一顿吼，至于么？要不是朋友推荐，真的没想去！草莓一般，比昌平那边的差的太远，称的时候还是带着篮子，三小蓝，330元，性价比真的很低！					,2019-02-27
imln,一到这个季节，就最适合来大棚摘草莓🍓，孩子最高兴，既能亲手摘下红红的草莓，又能吃到好吃的草莓！强烈推荐！价格还是很合适的，不用团购，直接摘多少结账，但是好像桶拿走算钱！地址在和园主确认下，好像不太一样，早点儿去，要不人多					,2019-02-20
花花_496951,京福路青云店派出所边上的路一直开到头右转就到了，新的草莓棚超级大，足够容纳二三十人同时在一个棚里采摘，年前去了一次，草莓又多又大，女儿和姥姥两个人摘的非常起劲，一不小心就摘了十斤，没敢再让他们待在棚里，去外面转了一圈，有个鱼塘没开，小朋友在土里捡捡石子也挺开心的。年后初五又去的时候，明显感觉草莓少了，个头也小了，可能过年好多人都来过吧					,2019-02-12
赵大V,离家比较近的一个草莓采摘园，每年都会带孩子体验采摘的乐趣，这个地方很容易找，开车一会就到了。孩子采摘的比较开心ヽ(○^㉨^)ﾉ♪，草莓的味道也很不错呢。会再去一次的，也会介绍给朋友们，约上几个小朋友一起去玩。					,2019-01-29
