用户名,评论,评论时间
Cindy_833068,农场在后沙峪罗马湖。里边可以喂动物捡鸡蛋摘蔬菜，还可以体验农耕，满棒的一家亲子农场，小朋友来了会很喜欢，最主要的是在里面还可以租一块地自己去种自己喜欢的菜菜，还有花园真心不错的农场，值得推荐，西红柿尤其棒、不想点赞！					,2021-03-31
Lisa,假期即将结束，来到了位于顺义后沙峪罗马湖附近的亲子农场。在这里，孩子们和小动物玩儿的非常开心。这里的小猫咪特别可爱。还有小狗。兔子。大鹅。鸽子。孩子平时不运动，在这里能到处跑。和动物追逐。达到了锻炼身体的效果。大棚里的菜现在也开始采摘了，蔬菜很新鲜。赶上农场，中午包饺子，在这里吃了一顿饺子。新鲜的食材，口感就是不一样。自制的肉皮冻，特别好吃。新鲜的草莓蛋糕，更是好吃。					,2021-02-25
高婷婷,农场地理位置很棒，走京城高速出来两分钟就到达。停车很便利，里边可以采摘的蔬菜，可以植树，可以体验农耕，可以喂养动物，还有儿童玩的去特别棒的一家亲子农场。最主要的是还可以在里面租个小菜园儿，一家老少在里边玩，特别棒的，还可以吃自己种植安心的菜菜，真心不错！					,2021-03-25
好心情_7756,这家农场位于北京顺义后沙峪罗马湖畔很有意思，农场里面有很多好玩的娱乐设备设施小胖，可以在里面采摘蔬菜喂养宠物领养土地，可以荡秋千晚上坑还可以做很多有意思的童年回忆的事情特别棒了一家亲的农场，值得推荐，交通方便停车便利采摘价格不贵。					,2021-01-23
dpuser_9308424758,非常不值。几个疏于管理的蔬菜大棚，一些臭烘烘的圈养动物，说可以种树，连接水的地方都没有，种完问不需要浇水吗？答不需要。整个场地没有水，没有可以洗手的地方，卫生间也没有水，不仅没水还很久没有打扫过，能看到已经变黑的人类大便。采摘只含2斤，但是从进园起就没有告知。采摘完说超重的每斤25，这不明摆着坑人吗？中间来来回回问其它事情好几次，一次也没提这事。结论：就是一**，排前几的好评都是刷出来的。奉劝不要去。					,2021-04-03
wjr白胡子,商家很诡异，不知道有什么企图把定位给定到另一个地方，然后让你在网上看介绍决定要不要去真实的地方玩。通过网上介绍看起来很美好，他就让你先交钱再发实际的地址你过去，真的过去才发现，环境很不好，都是土路深一脚浅一脚，有点水的地方就都是泥。号称能喂小动物其实都是鸡，狗和猫像是当宠物养的也没法互动。沙坑里其实都是黄土，娱乐设施只有秋千能玩，季节不对能采的东西极少但他并不会因此少收钱。里面的东西只要想带走就会很贵。感觉评论里面的5星评价都是水军刷的，不然简直不能理解。					,2021-02-27
MiYa咿,带孩子去玩，玩了差不多1个多小时，孩子撒欢儿的跑，和小动物互动，捡鸡蛋，喂小兔子…还有一些孩子的娱乐项目，孩子刚好喜欢，就是天太冷，沙坑玩不了，要不就能多呆一会了，听老板说夏天还会有集体聚餐活动，和朋友聚聚餐，孩子在旁边喂着小动物，玩着游戏，很不错的感觉。帅帅的小哥哥带着介体验很好！					,2020-12-16
dpuser_3627661413,顺着大众点评地址过去，是个商场办公地点。打电话问客服地址，客服要我们去线上平台查看，我们加了微信提示要先缴费，又给客服打电话问地址说想要先过去看看再交钱，说什么地址不好说让我们上去查，那个公众号只能下单才给地址。我继续追问，然后居然就挂我电话了。白跑一趟走了生气及其恶劣的商家。					,2021-02-21
郭丽燕_8559,趁着天还不冷，搜了下家附近的亲子采摘，看评价还不错，周末带着孩子去的，农场很大，有好多种蔬菜水果，老板说都是有机的，看着不起眼，回家烧起来还真和超市的不是一个味，农场里有小鸡，大鹅还有小兔子，孩子很喜欢，孩子自己去捡的鸡蛋，亲自喂了小兔子，很开心😄，还有几只小猫一直粘着我们，跟着我们各个大棚里走。孩子平时体验不到这种原生态，都舍不得走了。老板是个小伙子人很好，很热情，给我们介绍的也很详细。以后可以是个定点菜园了。图中的水果别看长的丑，吃起来那味就和我们超市买的不一样，推荐大家去尝尝					,2020-10-14
pinkmiumiu,农场的大叔们非常热情耐心介绍各种采摘项目和有机农产品大棚占地面积很大每个棚各有特色可以就地取材烧烤野餐产品新鲜无公害还有多种家禽和小动物小朋友也很喜欢在里面玩耍满载而归以后会经常去享受务农的快乐					,2020-12-10
爱溜达的猪_2744,农场，ʕ•̫͡•ʕ*̫͡*ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ*̫͡*ʔ-̫͡-ʔ。...(*￣０￣)ノ[等等我…我……我…………]，平常喜欢宅着失忆，还真没少出去，主要是京郊周边的游玩。收拾完即使免不了吃观观景，才在摘什么的，感觉还可以吧，就是有些冷。不过确实能够感受到食材的新鲜。					,2021-03-31
匿名用户,国庆中秋时节，蜜桃成熟了，努着红扑扑的嘴巴，再配上一身小绒毛，显得那么好看，那么可爱，像含羞的姑娘一样，低垂着头，涨红了脸。生长在剑叶心中的菠萝，从院子里的绿叶丛中好奇地探着头，张望着，窥探着来往的顾客。					,2020-10-08
光盘行动组,老板人品很差.进门就花了200块钱，啥都没有，菜都烂了.环境脏乱差.一眼能望都头.老人吃了两个核桃老板还说要算钱，劝大家谨慎过来.最后花了硬着头皮让孩子捡了几个鸡蛋.以后绝对不会再来了.小姐姐人还不错，看不过去了最后门口要给两个苹果.老人说了，我们有尊严.绝对不要感谢老板—饭饭美食					,2020-10-08
叮叮当当,农场主人很热情，还是专业的摄影师，看到他家的产品，都想抱回家，水果蔬菜种类多，种的也很好，看来主人很用心打理的，以后厨房的食材就从他家采购了，也建议大家带孩子们来体验，不要害怕晒，亲近自然不单单有美丽的景点，原生态的菜地是更棒的选择，不然如何珍惜，从何感恩呢，粒粒皆辛苦的诗句在这里更好体会，也可以下地除草捉虫子，这堂户外体验每个城市的孩子都非常需要，他家是不错的选择。					,2020-10-07
dpuser_9801703535,平时去的地方大很接近大自然，老板很亲切的指导挖菜技巧人很好下次还带孩子去喂动物,2020-07-13
腻了,话说这几天的天气是真心热，得亏我提前计划好了，起了个大早，虽然到地方也已经快十点了，但还好不是无法忍受的热，蔬菜种类超多，这个季节正是让孩子认识饭桌上常见蔬菜的好时候，尤其是上次来给孩子讲解了蒜苗知识，孩子回家又讲给了小伙伴，都觉得很神奇，因为大蒜长在土里的部分是蒜骨朵也叫蒜头，它长出的叶子就是我们常吃的蒜苗，而蒜苗中间长出的杆就是平常吃的蒜苔，一颗蒜竟然长出三样东西，而这个三样平常都是分开卖的，谁能知道它们是一家子呢？小动物：有各种小猫：蓝猫，虎斑，加菲，小橘猫，还有一些小黑小白小花猫（暂且就这么叫吧）小狗也有好些品种，还有大鹅，鸭子，乌鸡，珍珠鸡，小兔，鸽子等：采摘类：最爱圣女果，一串串好像工艺品，据说西红柿品种有几十种，是农场主人打造的西红柿王国，口味真的特别棒，跟外边买的口感很不一样，皮薄汁水充足西红柿味儿浓郁，从园子里摘了拿回家的功夫，一点没磕碰，还是被西红柿的把儿给戳了几个小坑，想想平时买的西红柿掉地上都摔不坏…，还有黄瓜各个都顶着满满的小刺，跟小时候一样摘黄瓜扎满手小刺，总是喊我哥给我摘，还有豆角，茄子，卷心菜，西瓜，香瓜，对了，还有葡萄但还没熟…种类太多了其他好些东西照片没法展示，先到这儿吧					,2020-10-04
蛐蛐儿爱吃肉,跟着导航是找不到的，需要电话商家然后加微信发定位。到地儿之后本来说看看环境再决定如何玩。结果直接交200先，可以摘5斤菜。捡鸡蛋和钓鱼单独收费。现在还不是玉米成熟的时候，西红柿、茄子是可以的。没什么鱼可以钓，捡鸡蛋也需要清早，下午就没的捡了。能玩一个小时吧。					,2020-06-09
mocca0915,刚到顺义工作～为了发展学习私人飞机驾照的客户～我到处溜达～一不小心偶遇有机农庄～立马拉上做西班牙品牌皮鞋的闺蜜一起～疫情中的北京～闺蜜品牌严重影响～拉她出来解解压～我也解解压～我们各种采摘～超级过瘾～无需高大上～接地气就是快乐～我闺蜜自制美食高手～我们打算天天泡在农庄怎样呢？呵呵/::>中午好吃的大鹅～柴鸡蛋～西红柿我最爱～还有小时候我喂鸡吃的野菜～我自己吃了一盆～今天再约一闺蜜～还想继续农业走起啦～看看～包上一亩三分地啦～新时代农民					,2020-07-04
于老师,这家西红柿品种很多，有二三十个品种，口感超棒，太棒了，还有好吃的葡萄，紫色的，绿色的啊，现在看到的就两种口感也是非常完美的，这样的农场少见了，以为很大，大概200亩蔬菜一品种也很多，大概有五六十种。值得点赞（｡ò∀ó｡）					,2020-10-08
