用户名,评论,评论时间
丑蛋苍耳,第一次去采摘，老板说六十一斤，全程跟着我们，像捉贼，不让尝，摘了三筐，要了六百，筐子也算在里面了，第二次也是急匆匆的过去，五十一斤，摘了五盒，要了250块，在给我们称之前，她给别人的价格是三十，称是的数还没改过来，问的时候老板就说那人摘的小的……晕死，这个采摘也没告诉我有三十一斤小的呀，小的标准是什么呢！！！太坑了					,2021-01-18
晶晶jing,休息时候和家人一起去的，西集附近好多采摘草莓的地方，很好找，价位都差不多，刚进去就会有人接待，选了一个最近的大棚，棚很大，也很干净，草莓🍓长的非常好，非常新鲜，草莓味儿特别浓，拿起就想吃，非常甜。					,2020-05-14
倪大美,服务很好。两夫妻看店，看的出来，很辛苦。草莓味道很不错，是我喜欢的酸甜口。草莓发亮的就很好吃，千万不能选择太过红，且没有光泽的。总得来说，还不错。买了五斤左右的草莓。不到两天就吃完了。有点小贵是不是					,2021-01-05
匿名用户,优点：老板安徽人，热情好客而且幽默。棚子有十多个，不会像某些采摘园上午晚一点去就没了；另外老板很会说话，会跟你开玩笑，说俏皮话，这一点很赞。停车：停车技术好的话可以停路边，不行的话可以停到桥头的原生土地停车场，挺方便的。感觉不错，下次再来。					,2020-01-07
dpuser_9286233356,一到周末最头疼的就是带娃儿去哪儿，3月份正是采摘🍓的时候，这家我们每年都要来，虽然离我家不近，但是依然愿意来，带着2个娃儿摘了不满两篮【红颜】🍓，35一斤一共230元，摘完要尽快吃，就图个新鲜					,2019-12-29
小不点囡囡201288,每年都会带着娃儿们来这家采摘🍓，摘的是“红颜”，酸酸甜甜，个人感觉红颜比奶油的草莓味儿浓，自己摘一是图个新鲜，二是为了带着娃儿放放风打发时间，采摘35一斤，摘了不满2篮子230元，建议少摘，这东西放不住，隔天就不好了，过几天打算再去一趟					,2019-05-06
金猪娃娃,朋友推荐的采摘园，去年就来过，红颜草莓不只是甜还有香香的味道，还买了好多鹅蛋，今年太忙了，一直没有来，在快结束的时候赶上了因为来的有点晚了，草莓没有之前的大，不过依然香甜，因为我们要采摘送朋友，老板娘人很好，让我们到前面棚子摘，明显大很多，还帮我们摘了一盒，随便吃，老板根本不管，走的时候还送了一小盆，说里面有几个品种，有几个白色的草莓也很好吃，还会光顾的😋😋					,2019-04-19
zhounan1212,就在家们口的采摘园，草莓是冬天大棚成熟的，在我印象里其他的的草莓都是2，3个月才成熟的，这家的草莓感觉一个月就可以采摘了。没去过他家,2019-04-06
浮生若梦,元旦导航过去的很好找！红颜采摘60一斤,2019-03-24
樱桃丸子,刚进棚里还没摘呢大妈就说可以尝一个聊了会说草莓也是打药的也不敢多摘了谢谢大妈,2019-03-23
老夫的少女心,周未去的，老板人很好。价格实惠。,2019-03-23
teetee0529,他家的草莓🍓味道很正，草莓味足足的，有要采摘的亲们可以去亲子体验下采摘，老板和老板娘都很好哒,2019-03-09
小白犬,草莓挺好吃的，五斤以上35一斤，老板很热情。,2019-02-07
净土_7288,环境非常好，交通很是方便，草莓特别红，个挺大的又甜,2019-02-05
snow2570,真的好吃值得拥有关键是好吃划算,2018-05-01
四十四师张小贱,这里是家庭御用🍓采摘园，老板是个可爱的大叔，健谈、热情，所以大都是回头客，还有回头客带来的新客。一年没来，他家大棚又变多了，老板说是客人多了，所以不够了😆生意真好啊由于现在是🍓最后的季节了，所以品种并不多，但是丝毫不影响其品质。一家三口儿在棚里吃的不亦乐乎，祖宗捏🍓一绝，捏完还往身上抹——绝望他家五月份就有蜂蜜了，自己养的蜂，槐花儿蜜，城里现在很少能吃到了，不能错过哦。					,2018-04-21
小巷里的小爱,第一次去，很满意，老板看我们穿的白鞋，主动给拿得袋子套脚，本来刚开始看评价，不是很心水，但是去了以后，商家态度很好，老板看着也喜气洋洋的，还让我们摘了些白草莓，还主动说让我们多摘些，至于评价里有说的试吃现象，我们完全木有发生，我们并没有试吃，老板还主动给我们摘了让我们尝尝，😅我先生还问用不用洗洗有没有农药，老板说有农药能让你们直接吃么，顿时放心多了，棚子里有小蜜蜂，回家后我也尝了，草莓比外边买的好吃，白草莓一股水蜜桃的味道，总之很不错的体验，还会再去的反正离家近祝老板生意兴隆					,2018-03-18
