用户名,评论,评论时间
Wangsy613,清明节一大早就赶过去了因为要多摘几筐送人所以早早的到了喂了喂小兔子其实是大兔子了哈哈现在的天气逐渐热了草莓没有以前大了喜欢吃的得赶紧下手喽草莓味道还是一如既往的好带回老家虽然在路上颠簸了几个小时已经影响一些口感了但大家还是好评如潮送给邻居一点邻居说你家这在哪买的怎么这么好吃大爷家还有一点点白草莓可以少买几颗尝尝鲜不过我还是感觉红色的好吃草莓太娇了手摘的时候得轻拿轻放吃不完一定要放到冰箱不然第二天就全烂了总买的都懂这个理					,2021-04-05
alicexutx,我去过四次了，冬天的时候孩子滑雪结束路过会特地拐一下来这里摘新鲜的草莓，味道特别好，是后沙峪高级超市都买不来的那种味道。现在春天了草莓更多更大更甜，价格也比冬天便宜哦。老板娘人非常好，没次去都送点小葱小菜，纯天然健康，外面真买不到的。去过这么多次今天还让我挖了好多荠菜，真的是感动了，必须给老板娘一个好评！值得！					,2021-04-03
红豆粥。,经常来宋大爷家摘草莓，两口子人都很好。刚摘的草莓吃起来特别新鲜，是外面市场买的奶油草莓吃不到的味道，这次回家带了三筐一下子就分光了，大家都说太好吃了，要跑来北京摘。不过草莓这种水果太娇嫩了，摘的时候一定要轻一点，摘的技术越好保存时间越久哈，我现在摘的草莓放到冰箱冷鲜保存一个星期不是问题					,2021-04-05
helloRebekah,说实话，但凡来过这家就不会去别人家了，大爷人特别好，每次都会鼓励我们去尝（因为不洗觉得太脏了，尽管也不打药。）草莓这个天儿就快过季了，但还是又大又红，特别新鲜，摘回家还可以吃两三天，毕竟天已经热了。草莓特别的好，还有鸡蛋，鸡还在旁边咯咯的。都特别好，推荐大家去试试，主要是人特别的好，去了还会有惊喜！！！					,2021-04-01
treasure,周六开车过来，第一次采摘，体验不错，都摘了不少。草莓特甜，老板夫妻俩都很热情，太喜欢他家的老两口儿了，那么实在，草莓🍓也是没的说，无论大小，只要你仔细找，慢慢摘，越红的就一定都是超甜的。还有各种小动物，天气风大，安排的这个室内活动是真不错，价格肯定比超市里贵一点，现在是35一斤，之前40，老板说再有过个清明节高峰期，这草莓季也就过去了，该种点儿菜了，总之没白来，吃过摘的不想吃自己买的啦哈哈					,2021-03-26
北京边少¥,抓住假期的尾巴来摘草莓位于昌平小汤山这一片好多的草莓大棚。看点评来到他家老板娘很实在给我们新开了一个棚平时来人不多果也大。敞开摘。自己摘的草莓都是自然成熟的。大的都有小朋友拳头大呢。非常甜草莓味足。摘前可以尝一个。摘得时候就不可以吃了哦。临走还买了些柴鸡蛋。很好下次还能来！草莓🍓价格40一斤，柴鸡蛋价格13一斤！					,2021-03-01
highroy0909,老板和老板娘非常热情，草莓园有4号到7号，4号和5号采摘差不多了，老板带我们采摘刚开放6号园，绿意葱葱，个头大，宝宝品尝了下，好爱吃很甜，得多摘点带回去，绿色天然。宝宝最喜欢用草喂小兔子，老板娘给了玉米喂鸡，下次还要带宝宝来。					,2021-03-21
青奴,又又又来了！加上这次，第三次来了！之前懒得跑，毕竟草莓当季了，楼下小卖店、超市、电商都能轻松购买到，然而，都没有老宋家的好吃。碰巧朋友约采摘就跟着去了别家，心说自己摘得肯定没得跑吧，然而小6斤果，回家吃了一半不到，愣放坏了。真心不好吃！都是采摘园自己摘得草莓，差距咋这么大呢！老宋家草莓口感味道完胜啊！人这味蕾，一旦吃过好的，略微不好都难以满足它。真没法骗自己。以后坚决不换地，采摘还得到老宋家！					,2021-03-09
木木的天长地久,点评看到这家草莓评价特别好，还有小兔子，就带娃来玩了.位置：路线上有点曲折，按导航提示走的，让走西官村北口，结果疫情封闭了，打听了一下，只有村南口，也就是白马路那个口可以进，进村后一直走，到一条大路左转，路上见到大指路牌（红底黄字）左转就到了。离东北灶台鱼（另一篇点评有写）特别近，采摘完顺道可以又吃又玩。推荐理由：老板和老板娘都很热情，第一次来，找路的时候打了好多次电话，一直给我指路，采摘的时候也聊的不错了解了很多草莓种植的知识今天人不多，特意避开周末来的，采摘过程清清静静的，老板很贴心：一家安排在一个棚，重点是草莓味道是真的好，又大又甜，摘了三盒，没到家娃就吃完一盒，挑嘴娃一枚，可见是真的好吃，汁水充足不空心，去过那么多家草莓园，娃最喜欢这家，估计下周还得去，他说要给大黄（老板养的一条狗，挺乖的，不叫，一直摇尾巴）带香肠还有小兔子可以喂（有草莓叶），如果不怕，可以抱抱小兔子拍照，毛毛绒绒的，萌化了买了两盒柴鸡蛋，鸡蛋不大，看着不错，口味试试再说					,2021-01-29
生活家郭小花,交通:周末带娃去采摘，朋友找的地方。昌平兴寿这一带主打草莓文化，周围有很多草莓采摘园。自己开车来很方便，下了高速就没有多远了。附近空地很多，停车完全不成问题。我们来的并不算早，大概十点多到的，可以随便停有的是地方。特色体验:其实我本人对这种采摘活动并不是特别感冒，但是小朋友们无一例外的都喜欢。一下车小朋友们就直奔小兔子而去。笼子里养了几只小兔子，体型非常肥硕，看来日常食物是草莓叶子，旁边还准备了不少白菜叶，可以让小朋友们喂着玩。采摘园附近还有散养的鸡鹅羊什么的，城里的小朋友们，没怎么见过这些，都可新鲜了。当然我也没怎么见过啦推荐理由:而这些都不是最重要的，他家的草莓是真的好吃，特别甜，就算小朋友摘的那些不是特别红的，也都特甜。老板娘一直给我们安利说他家的草莓是有机草莓，有机不有机的，我们也没法鉴定，只能从口味下结论了。tips:采摘大棚里非常温暖，大概20多度，穿羽绒服太热了，可以让孩子穿室内玩的衣服就好，摘完出来再穿羽绒服。另外就算草莓再好吃，一次也不建议摘太多，最好能全家人在两三天内吃完，否则再好的草莓放久了也不新鲜了。价格可以和老板商量，我们因为摘的多，老板给的价格比点评团购还低呢(´-ω-`)哦，还有那个摘草莓的小筐也赠送的					,2020-12-29
