用户名,评论,评论时间
习习谷风,一年一度的秋游采摘活动，今年换到了这家。离蟒山国家森林公园不远，开车很快就到了。果园面积很大，据说有34亩。树下散养着鸡鸭鹅等家禽。还有茄子🍆瓜类等蔬菜。不过我们是10月末去的，地里似乎没有菜了。主人说话做事挺敞亮，比较大气。我们一行人进园后，主人先给介绍了一下注意事项，其实也没什么特别的，就是一人拿一个我小时候见过的挎篮，摘满了就装到纸箱里。30斤的话得两篮子。另外，苹果🍎品种是常见的富士和黄色的王林（感觉就是小时候所说的黄金帅）。第一次听说富士还分条红和片红两类——片红样子漂亮，毕竟红通通的一片很诱人；条红的上色没有片红多，都是小细红道道。但是，主人说条红的更甜，现在深秋了，糖分积累也很充分了，果核周围都是糖心！树上苹果🍎很多，我找到一个梯子，可以摘到高处的果子。一会儿就摘满了一篮子。放到纸箱里，大概有半箱。剩下的准备装主人早就摘好的王林，这样红黄各一半。然后我就到离箱子七八米以外的水龙头旁洗🍎吃——采摘的好处就是在园子里可以随便吃！我吃了三个。箱子就这样敞着口放在一边。🙀🙀🙀🙀然后回到自己的箱子那里，开始往箱子里装王林。装满后过秤，用胶带封箱。他家生意很好，除了我们这一批人，还有不少散客来采摘。人很多。一切似乎很完美。但是，回到单位，把箱子开封，化整为零往家倒腾时，竟然发现有两三个苹果🍎上有不小的疤。🙀🙀寡人迷惑了。寡人亲手一个个摘的，当时肯定没疤啊。难道是寡人去水龙头那边吃苹果🍎时箱子离开视线那段时间发生了什么诡异的事？敞着口的半箱苹果，不会被坏人当成装坏果的箱子往里面放了疤果吧？没有证据，只能是永远的谜团了。🙄🙄他家的🍎总的来说确实挺甜的，值得再去。					,2020-11-06
mandyyanglei,收获的季节啊，收到我疯狂迷恋采摘的老母亲指示，此次周末活动前往昌平采摘苹果交通：9点出发，路上稍微有点儿堵，11点左右到达采摘园。特色体验：一进来老板很热情，园子挺大的，来采摘的人不少。老板招呼着，糊里糊涂的就跟着一众人等往里走了。还有烧烤自助，家长事儿比较多，我们没在那里吃。苹果可以尝，带我们直接从树上摘了，尝了几个品种都很好吃，登高爬梯的，最后摘了两满筐，满意的回家啦，老板很给力！称完直接给搬上后备箱了。好评！					,2020-10-31
sweet_kelly,跟着导航走，很好找，现在正是苹果采摘最佳时期，园子很大，果实饱满，在高处的🍎，被阳光眷顾充足，红又大，孩子们登梯爬高自己动手，一个摘一个接，配合默契，一会儿就一筐，这里散养的鸡和鹅都不怎么怕人，拎着一大筐苹果，都怕踩到它们。苹果采摘10块钱一斤，我们摘了一筐290，交完钱后孩子又抱着三个不太大的苹果出来了，3个小苹果单称是22块。					,2020-11-04
蒲公英_baby,一进门就被热情好客的接待，然后就去里面摘苹果。苹果可以一边摘一边吃，个个都又大又红的，尝着很好吃。摘的时候还有人指导，告诉我们哪里的好，哪里的还没熟。出来之后孩子们还看了看鸡鸭鹅之类的小动物，真的很不错。					,2020-10-08
passionpixy,一个月内第二次来了^_^太好吃了，上次两箱在家咔嚓咔嚓一周多就吃光光了。。。今天风有点大，不过阳光明媚。果园挺大，收拾得很利落，树下间隔种红薯白菜辣椒等蔬菜，鸡在啄食鹅在叫，苹果红扑扑的沉甸甸的，在树梢blingbling闪啊闪啊，仿佛在对着人笑，一派秋天田野风光。桌上摆着多个品种试吃，喜欢哪种就去哪个树采摘。还提供大梯子采树梢最红最大的苹果。不过采的时候，真是这个苹果也好，那个苹果也好。我家小朋友拎着他的小塑料桶，把用力拽下的红苹果放入其中，欢实的在苹果树之间跑来跑去。。。。最后采了三大蓝子，共6小箱。。。另买了一袋烤苹果干，味道超级好，推荐。					,2020-10-22
Helen210703,老板很热情，爽快！果园不小，苹果好大个，眼见哪个都喜欢，摘的停不下来！有几个品种，都摘了一些，苹果树不高，个子不高也可以随手摘，个头很大。富士，王林肉酥味甜水分多，糖心哒！吃的停不下来！果园里还有些蔬菜，鸡鸭鹅蛋，果干什么的，很开心的采摘。					,2020-10-29
美丽奥妞,上周决定来摘苹果，本周六大概十点多出发，因为堵车，十二点半多了才到，苹果真甜，来之前还给老板打了电话，特意问了还有没有苹果到了之后发现满树的红苹果，像极了一个个红灯笼，孩子老人摘的开心，觉得明年还是会继续来的，有的时候因为摘了两箱，一个大叔特意推了车帮我把孩子和苹果推到我停车的地方，特别感谢					,2020-11-07
牛牛和兔兔2,带家人采摘苹果，家附近点评上搜索评价相当高的，体验果然名不虚传，不光果子口感好，而且老板服务热情，虽然很忙，但每位顾客都照顾到，抽空还亲自带着我们采摘装箱。全家人都说苹果好吃，孩子玩得开心，而且还有蔬菜采摘。需要的还可以帮忙快递到家					,2020-10-03
Lanlan_5021,今天又携带一家老小来到英龙苹果采摘园采摘又红又大又甜的🍎，来的比往年迟了些，但发现苹果更惊艳了，居然个个糖心，而且更甜，口感更好，纯天然，无化肥，无污染，简直太棒了，最关键是价格也很实在。老板和老板娘热情朴实，每一颗果实都是他们的小心肝儿，小心呵护。今年还有自制苹果干儿卖，无添加食品，很甜，口感不错！祝愿老板生意兴隆					,2020-11-15
lvvylu,十一期间全家来采摘苹果有两个品种，红色的是酸甜口，黄色的甜口。整个果园面积很大，摘的时候可以不用急，慢慢挑，向阳的苹果明显要熟多了。除了苹果还有糯米玉米，红薯，水萝卜，南瓜。家禽也有柴鸡和鸡蛋。孩子玩的很开心，估计十月底红色的品种会更成熟。					,2020-10-03
