用户名,评论,评论时间
匿名用户,真的不建议去，早上八点多打电话说要过去，告知没有人可以直接去。等到了，说没预订没有位置没法烧烤？？？！！！没地吃饭让先交钱玩？？？东西都没地放？？？老人孩子都没地坐怎么玩呢？？？？不止我们，到了时候看到其他很多家都有这个情况，感觉都是被匡来的。。。。。城里太远，大家来了以后都没办法只能忍着凑合着待着。。。吵架的，嚷嚷的，地方很小，两个小水坑，怎么就组织不过来呢？？？？如果没有任何组织接待能力，就不要为了赚钱把大家匡来，实在不妥，因为没有这个赚钱能力，就赚不到那么多钱。有多大能力办多大事。。。大老远的过来了，烂七八糟，特别的脏，去过很多农家乐，其实不讲究规范，也不用太讲卫生，开心就行。但这里实在太恶心了，吃不到玩不到，没有一点点的规范，老人孩子来了就是受罪，耽误时间影响心情。现场很乱很乱很糟糕，周末节假日要想带一家子放松，这里绝对不能去，大老远被骗来就只能忍着，玩不痛快。					,2021-04-04
尉迟猫,钓蟹小达人上线~今日战绩：钓了16只，不到五斤只要掌握了技巧其实不难的哈~除此之外还能烧烤，能自己带肉也能从老板这儿买串儿，边钓边烧烤，一点都不着急，特别惬意很好玩呀而且螃蟹看起来都挺大的，基本都是公的，个儿大结实，钓出来可有成就感了除了钓螃蟹以外还能采摘，捡土鸡蛋，能玩儿的还是挺多的这里的小动物太多了，鸡鸭鹅之外还有一只今天刚刚出生的小羊羊，见谁跟着谁，太可爱了~但是这里吃饭就没什么好吃的了，菜特少，一个排骨豆角焖卷子一个炖鸡，好吃点的可能也就摊鸡蛋和葱油饼了					,2021-04-04
dpuser_3398305624,【特色体验】：钓螃蟹🦀️可以租杆，附带鱼饵，钓杆没钩，有种愿者上钩的感觉哈～全靠螃蟹自己夹住。池塘不大，但是感觉螃蟹不少，因为还挺容易上钩的，但是由于螃蟹过于机智，出水就脱杆，所以需要配合网子瞬间兜住，最终能不能得到它全靠缘份了，哈哈！最后称重算钱，45元一斤。这个池塘据说4-8月可以钓小龙虾🦞，旁边的池塘还可以钓鱼，难怪霸道总裁的要承包鱼塘，原来这么赚钱【用餐推荐】自助烧烤🍢这个地方用餐分两类，一类自助烧烤，一类点餐。倒不是说自助烧烤有多好，主要是点餐选择比较有限，主菜都在门口大柴锅里，标准农家乐菜式。还不如自己烧烤，炉子+炭火+调料一共50很方便，慢慢烤串串，一边烤一边钓。再点几个凉菜或者自己带点儿零食，完美。【服务】没有期望就没有失望周末人满为患，所以全靠自助，自己找位置，自己画菜单，自己拿碗筷，自己端菜，反正别计较那么多，开心最重要。【其他】池塘旁边还有一些零散的小动物，小羊、小猪、兔子、鸡。小朋友还可以走进鸡圈去取鸡蛋🥚，拎个小筐自己那，出来称重就行。					,2021-04-03
薇薇薇Vera,十一带孩子玩玩，钓螃蟹🦀可不是那么容易的四个大人掉了半天才五只。说说其他的吧环境不要要求太高，饭菜做的很好吃家的味道，我们也烧烤了，食材都是从他家买的，质量份量都OK，就是十一期间人爆满食材供不应求，等待时间有点长。我带着孩子去旁边果园采摘了红果，挖了白薯。孩子们非常开心收获满满的！体验感差点主要人多，但是性价比很高。连玩带吃一天每人才一百多点找个周末早早的再去一次多钓点🦀					,2020-10-03
SKa666,十月一号打电话问的，2号早上一路畅通，九点就到地方了，第一个到的，去的早螃蟹多，还可以找好点的位置，到十点多人就多了围满了人，不过也不知道是不是运气好，钓的特别多，这样的桶，钓了三桶，超有成就感，第一次钓没想到这么好玩儿，孩子也很喜欢，早上人少，奶奶带着我们看了刚出生四天和俩天的小兔宝宝，中午人少没烧烤，吃的铁锅炖柴鸡，特别好吃，很软很入味儿，还有主人家的小猫咪简直太乖了，抱起来撸都很乖，大人孩子都太喜欢这地方了，下次还来					,2021-04-05
landysj,十月一日吃完午饭来钓螃蟹，一路畅通，不堵车，地方好找每根钓竿付款二十元，（其中十元租竿，不限时间，不钓了拿竿退10元押金）公蟹个头大，母蟹虽然小，但满黄，老板娘一家很热心，老板娘的女儿还送了两个抓娃娃币，有时间还会再去					,2020-10-29
许诺,无意间在大众点评看到南城也有钓螃蟹🦀约上小伴儿出发🚘从南三环出发路况很好，大概30分钟左右吧，我们到的早把车开进去了，里面的停车的地方都是泥，环境不太好，过节期间人多，车子可以不开进去停在路边走进去，带孩子个人觉得有点儿不太方便。钓螃蟹🦀一个杆10元，有网子，桶。还可以钓鱼🎣还有一些小动物，正好赶上刚出生的小兔子🐇很可爱。就是环境吧……真的需要好好改善改善。有农家饭，也可以自带烧烤是收费的。温馨提示：带孩子家长一定一定要注意孩子的安全，钓螃蟹🦀的池子边上从外面杵在池塘里一根粗管子，孩子从那里过一下就给绊倒了，地上都是石子儿，孩子的腿🦵都挫伤流血了，我们自己赶紧拿酒精消毒，孩子哭的不行，我们就这么结束🔚了					,2021-04-03
云烟就爱吃,用点评记录生活十一补记之钓螃蟹。依然是大众点评搜到的，下了高速沿着弯弯曲曲的小土路一路开过来，一开始还开过了，拐进了旁边种植木耳，蘑菇的院子，又开回来停路边。里面真是不大，十一人也多，大家基本上就围着小小的芦苇塘钓螃蟹，旁边的鱼塘还比较大，但是钓鱼的人却不多，随便玩一会儿就差不多了。					,2020-10-14
柯勒西百合,【位置】门口没有明显的指示牌，大多人都在门口找不到位置。【环境】人特别多，明显超出了服务量，没人管全靠大家自助，想赚钱想疯了这是，有多少人接多少人。【服务】总共就看到了5个服务人员。其中有两个还是小孩子，才十几岁……雇佣童工？定好的位置没有椅子，也没有人管，一个人的费用是20，可以烤串，【炉火费】最让人接受不了，不管你用不用你都要交50，这就有点强买强卖了，我不用你也要收我钱啊，可能是因为没在他这点菜。反正就是胡乱收费。【钓螃蟹】一群人围着一个坑，租杆子20，捞螃蟹的网子都是破的。大家都在抢网子，抢椅子……🌟总体来说体验感极差，真是的头一次给差评，要不是路途远，真想直接就走了，老板脾气比客人都大，反映问题不解决就算了，还拱你的火气。不会再来了，也不会推荐大家来。					,2021-03-30
丁丁5257,清明踏春好地方，有很多小动物可以喂，除了钓鱼以外这个季节还可以钓小龙虾，地方挺大的，也很好找，老板服务好，都很客气，中午可以吃烧烤，还有铁锅炖的各种菜，等秋天再来钓螃蟹,2020-10-02
