用户名,评论,评论时间
卡库小孩儿,早晨六点到晚上六点营业，会员制，要是单买票也行。练杆儿的地方，台钓。意思就是，你可以自己带钓具或者在他这租，自己带是80一个杆儿，租是120。以前好像150。能带狗，但太阳挺晒的，狗容易中暑。附近没什么玩儿的，破破烂烂荒郊野岭。有个马术，要提前一天预约，高尔夫那个场地也太差了，那草坪斑秃很严重。还有一个孩子练冰球的地方。这地方怎么说呢，鱼的品种不少，有几个坑，台钓是为了练杆儿的，钓上来以后再给放回去。这个钓鱼靠技术也靠运气。装备多而全，技术充沛也不见得就能上鱼，撞大运第一次也不见得空手而归。他这的杆儿就是普通手杆儿，钓鲫鱼鲤鱼够了。不过这的会员有些人也够可以的，今天我看见几个男的，胡子留的跟老山羊似的，脱了袜子，从他坐那到他走，那个嘴叭叭叭叭的跟个鸭子似的，哔哔的就没停。然后说他前一天没钓尽兴，说因为旁边老有孩子，孩子跑来跑去闹腾，那个男的那个嘴巴特别不积德，一直说孩子崽子什么的就很多很散德行的话，我当时想跟他说，以后牛逼您就甭下蛋，后来我老公说你搭理他呢。我觉得这人吧，真差劲。后来有个女的。一家三口。不是会员，带孩子钓鱼。他就跟人家急赤白脸的说不让人家钓鱼，因为我们在他隔壁的坑，他就让那女的来我们这边，但我们这边人多，早没位置了，他那边压根没有人。他骗人家说他那坑钓法不一样，专业的，**半天。和他一起来的那些人一共三个，都是那个尿性德行，要不怎么说物以类聚呢。后来那女的就一直站那也不知道该去哪儿钓鱼。我今天是十点到的五点走的。鲤鱼钓了十几条吧，带孩子练练手感。一般也不来这块，总体没劲，不如坑钓或者野钓。					,2021-04-04
drmfssfmrd,冯老板人挺好，有一次刮风把钓箱刮到水里，新办的卡也丢了，老板直接给我重新补办了一张。看坑的老王也比较好，有什么事直接找他。已经在他家办了两张卡了，现在一有时间就去他家打卡，现在果断放弃黑坑了。推荐去他家使用短杆，不用太硬的杆子，要不然没有手感。鱼比较滑，不过玩几次找到窍门就好了，本人时不常还有双尾					,2020-12-30
Florencewawa623,"thanksformyboyfriendtotakemehere,it'saniceparktohangout.Ilikecutehorses,greens,andlovelycouples.Wewillcomebacktotryfishingonceweatheriswarmer.thanks					",2021-03-23
chenhongjin1213,周末沿着博大路去鸿博公园，回来的路上看到路西侧的一个很大的院门，走近问保安师傅，里边的全聚德开着呢吗？保安师傅回答：开着呢。我们还是第一次走进院里，大门口给人的感觉不是很大，可这一进门顺着路往里走，太大了吧！院里有2架飞机✈️，有全聚德烤鸭店，有酒店，最让我稀奇的是还有一个酷鱼垂钓CLUB，人还真不少……四周树木高大，环境优雅，设有专门的钓鱼区。很安静，每个人都静心等待鱼儿上钩，真是周末放松心情的好去处，可以在这儿修心养性，发发呆……最主要的是里面停车免费呦！					,2020-09-01
小月亮,最近新入坑的另一项活动，朋友简直是无法自拔的喜欢上了钓鱼，接连几天的购置装备，然后奔赴钓场，之前就听朋友推荐过，这次特地开车过来了，中午左右到的时候人还是很多的，整体的园区很大，钓鱼只是其中的一个小部分，周围还有个马术的培训基地。他家是个练杆儿坑，对于初次尝试钓鱼的朋友真的是太又友好了，不会有钓不到鱼的挫败感，鱼很多，很多，经常会有人钓到，然后都会很自觉的放到水里，而且鱼的个头都不小，适合带孩子过来，或者休闲垂钓~					,2020-10-09
鹤姐1128,拖鞋我残腿我又出门了，从南五环到这开车不到20分针就到了，按着导航到了以后错进入了马场，掉头进入旁边的城外诚大院里就到了，门口没有明显标志我们是跟保安打听了一下。停车很方便。四个普通坑，一个日式垂钓坑就是价钱贵点。收费标准见图可以自己带装备也可以在这租赁。今天天气特别好没有风，待在里面很舒服。估计以后会常来。小贴士：陪玩的受不了腥味建议带口罩。另外听着圈里的驴叫钓鱼也真是别有一番风味					,2020-10-07
朱雀小仙,孩子心心念的钓鱼，终于在这里实现了，138元，一根钓杆，一坨钓饵，一把遮阳伞，一条凳子，一个鱼抄，然后剩下的就是“小猫钓鱼”的考验了，我们十点到的，二条浮桥上，池塘边，基本坐满了爱好者，大爷大妈消谴娱乐，专业垂钓者解瘾，孩子们修炼性情，各得所好，一开始鱼儿不上钩，给孩子急坏了，过了中午，吃完外卖送到的肯德基，手气与钓感上来了，连续钓了九条大鱼，那叫一个开心。这鱼要钓上来后，再送回池塘，鱼钩也是练习钩，不带倒钩刺，对于消磨时光，特别值，因为不限时。园里还有一群小矮马和一头毛驴可以喂喂，话说，那头毛驴特别爱叫唤					,2020-09-04
萌塔塔是佳佳的皇冠海洋,开车过来的，环境不错，而且池子挺多的，还有日式垂钓！刚开始用的自己的杆，结果一下鱼线断了，鱼还是挺活泼的！之后用的垂钓园的杆，就很普通，然后如果绳子断了还可以去换，适合新手！第一次来钓鱼，一下午钓了4条鱼上来，还有几条咬勾了但是要么鱼线断了要么鱼跑了。旁边的大爷特别会钓鱼，两分钟一条，一下午钓了几十条吧，真不知道别人是怎么钓的，几乎每竿必中！以后有机会再来					,2020-09-28
crossbill_5814,推荐理由，离家非常近，从南三环开车大约15-20分钟即可到达。以往去钓鱼都去蟹岛，钓上来的鱼必须买走，真心是负担啊。在这就不同，鱼必须被放回鱼池，可以完全的享受钓鱼乐趣。大多都是成年钓鱼爱好者，小朋友少一些，大都自带鱼具，也可以像我们现租。鱼竿鱼食都有很全，120一套。对了，这里是可以点外卖的，是个发呆的好场所。					,2020-10-05
苗条的飞天猪,真的挺好的，高高兴兴玩一天。下杆就吃，钓的上来钓不上来看技术。估计天天被人钓已经变狡猾了，但是绝对不会一无所获！不用拿鱼回来也很好，回家菜市场买点海鱼吃它不香嘛？？？？？就是地方不算太大，人多了有点稍微挤。早上十点之前还可以跟管理的大爷那订饭，工作餐。也可以叫外卖，都很方便。					,2021-04-04
