用户名,评论,评论时间
恋雪飘香,国庆，中秋双节快乐！我是不知道我老公从哪找到这家的，路程有点远，一个小时，而且后面临近采摘园的路特别不好走，还好我家车是suv，都是摇摇晃晃到了！我们是第二波特别早的就到了，葡萄还真是不错，摘了一筐巨峰，一筐黑加仑，和大玫瑰香，当时大姐让我们尝尝，喜欢哪个味道的就摘那种，我开始想着也没洗不想吃，还是尝了尝，味道挺甜味道超好！而且我没拉肚子环境嘛。。。怕小飞虫的小朋友多注意，因为踩草里会飞舞很多的小虫子哦！价格吧。。。。知道葡萄是15一斤，尽量别摘菜。。。。因为所有菜都是一起称重。。。我买了两个大倭瓜老占分量了！还可以烧烤哦！！！					,2020-10-02
匿名用户,一个非常不错的地方，但是葡萄采摘得明年了。周末带着孩子约着朋友一起，最后准备的烧烤串，哪里有烤炉。一边采摘一边烧烤，其乐融融。除了葡萄还有花生，萝卜，白菜挺多的品种，要不是因为今年疫情原因，估计我们去的时候早就没有了。特别提示，葡萄太甜了					,2020-12-01
幸福的阿宾,十一倒数第三天去的，下午出发正好到那没人，现在永定河通水了，走石担路下来后国道穿过村庄才能到他们家，路在修不太好走，慢点开。这增加了烧烤炉，自己带肉，还可以点菜，以前吃过比较咸，饼最好吃，环境一般，树林里吃虫子什么的比较多，葡萄现在还有很多，今年来的人少，菜一般般五块钱一斤，花生十五一斤，再冷就不用去了，估计也没什么了，建议九月初去最好。					,2020-10-07
筱茜茜_5082,周末带孩子父母来烧烤，传说北京仅有几家可以碳火烧烤的地方，一共有5桌可以烧烤，烧烤架上装有抽烟机，环保。6人以内是200元，提前预定100元定金。可以搭帐篷，烧烤桌边有条自己引的小溪，老板放了一条鲤鱼，孩子们都下水捞鱼，玩的很开心。农家饭有点贵，三个凉菜一个鱼一个饼花了160，但是饼特别好吃，强烈推荐。采摘就不是很建议了，贵，而且葡萄不甜。也不知道是不是因为去的季节不行。					,2020-09-03
匿名用户,离市区一小时的车程。109国道很有意思，每当你以为进入深山前不着村后不着店了，突然就会豁然开朗，出现小镇市集，采摘园就是在这么个地方，去爨底下的必经之路上，旁边有条河，好像是永定河的上游，不过广播里一直在提示上游放水，因此可以戏水的河道被拦了起来，没有玩成水有点可惜，毕竟夏天快过去了。这里除了可以烧烤还可以点一些家常菜，烧茄子特别好吃，西红柿炒蛋可以备注不加糖，土豆丝略有点咸，再多放点醋味道会更好，总体味道还不错，饭桌在香椿树林里，阴凉有阵阵小风，可以拴吊床，铺帐篷，蚊子爱叮小朋友，带好木瓜膏和花露水。采摘还没有去，我们今天来蔬菜已经没有了，西红柿和茄子还没长大，地里有很多马齿苋，藤上的嫩南瓜也可以来俩，炒着吃味道不错。葡萄一会去看看，不知道是不是只有巨峰品种。对了，一进门的藤架子上长的是野葡萄，有些也蛮甜，但籽儿特大。小苹果和枣在藤架的尽头拐弯处，苹果酸酸甜甜，枣还有点柴。78是吃饭的钱，采摘待定。以上。					,2020-08-22
萌小囤,北京的疫情反反复复一家人实在憋的不行了挑了个好天气带着父母带着娃来人少景美的门头沟玩一圈这边的农家乐采摘园还是蛮多的挑了个评价最好的农民伯伯非常热情各种介绍而且甜杏随便吃无论水果还是蔬菜都是5元一斤相当实惠摘了四大兜子的新鲜蔬菜+水果一共才100元还玩了一上午性价比太高了一定还会再来的					,2020-08-01
花小旺,葡萄园在王平镇，离王平湿地不远，老板人非常好，很热情。园子挨着永定河，有山有水风景好。采摘园很大，有葡萄、玉米、花生、南瓜、秋葵等，葡萄15元一斤，品种较多，还可以烧烤、吃饭，是和家人朋友聚会休闲的好去处。					,2020-09-14
女王&amp;Emma,吃的，玩的，用的，种类齐全，一应俱全，6月的时候可以来摘杏，上树老好玩了，还有麻仁菜，7月份的西红柿熟了，要趁早，不然好的都让别人摘完了，其实他家专门种葡萄，8月是摘葡萄的好季节，葡萄纯天然，味好营养全。					,2020-09-08
静静,今天进山的主题就是为了采摘，位置在潭王路北口往北的河边，很近。今天来晚了，很多品种都没有了，看到有很多人在摘葡萄回去酿酒，还有掰老玉米的，连园子里的小鸡都给席卷一空了。等下个月的时候再来一次，摘点成熟的大葡萄。					,2020-07-19
匿名用户,特色体验：主要是采摘，今天去的可能还不到时候，葡萄基本都还没熟，不过摘了好多西红柿和丝瓜，都是现摘的，有的老一点口感不好的老板都给挑出去了，老板很实在很热情。还可以自己烧烤，老板给提供炉子和场地，环境不错院子特别大，一定要带驱蚊的刚下车就咬个包					,2020-10-03
