用户名,评论,评论时间
好好学习，_6378,总体来看是非常不错的服务周到老板非常热情里面的服务员都特别朴实大方给人一种很舒服的感觉确实是度假放松的好地方，环境非常不错有玩的餐具和食物都比较干净还有儿童专门玩的地方孩子也喜欢，吃的东西样数很多，还有各种凉菜，非常不错肯定还会再去					,2020-05-28
喵喵酱酱666,[交通]六环下了十分钟就到了，很方便！地点换了，来之前咨询一下店家最好！听说十月底歇业，明年三月份再开。[特色体验]工作人员会有不定期的小活动带着大家玩！很农家乐的感觉。[推荐理由]环境特别好，可玩的也挺多，推荐大家来这里烧烤！我们是自带炉子来的，40一个人门票					,2020-09-08
Ss,本来看网上有垂钓和各种小动物来的，十一过节过来发现竟然没什么人很奇怪，进去绕了一圈没看见什么动物，环境也不算好，玩的也就是门口台球和里边的滑梯，秋千等一些陈旧的基本设施，可能这得亮点是中午的自助烧烤和下午的摸鱼？！但是真的跟预期差很多，很失望没玩就换地方了。					,2020-07-21
金_9977,毕业季，实验室的一起过来玩，送师兄师姐们毕业，还有老师也和我们一起，难得的团建啊，开车过来的，停车位还算多，当天去人还不算多，中午是自助烧烤，服务人员很好，提醒我们提前开餐，因为后面有个大团，人特别多，哈哈，所以我们吃的还算好，基本吃完了，后面的人才开始吃。还可以打麻将，唱歌，还是很好玩的					,2020-06-04
whyellin,第一次，玩儿个真人CS，跑起来特别愉快就是有时候有木有打到敌军自己这边木有提示两个吃鸡队友带着还是很给力的水弹打身上不怎么疼肉，蔬菜管够拿衣服的小哥哥特别耐心的讲解，还特意给了优惠……两个场地，一个草特别高，还有一个，油桶掩体！手动点赞！					,2020-04-15
you_敏姐,算是比较近的一天带员工拓展：CS真人，加一些推展项目半天，自助烧烤，晚上铁锅炖鱼，周边拍照，然后回家！台球，棋牌也都有免费提供，注意车团队包车要提前约好往返时间，因为不预定好他们这种车有时候还会接其他附近的活。					,2019-12-17
grf0728,非常好的一个地方，就是有点难找，环境也不错，就是玩的地方太少了，疫情原因嘛可以理解，希望下次去的时候可以有更多的玩的地方,2019-10-15
不专业的吃货,风景宜人，凉风习习，舒适，美好，周末放松最佳之地！,2019-10-15
无双成_4604,可以说特别赞，环境上算的是疫情期间不错的去处了，我们吃的好喝的好玩的也好,2019-10-03
dpuser_0423977242,看着不错，等有时间带家人朋友一起过去玩。,2019-08-14
长蘑菇的小香猪,采摘正当时，春季好去处，喜欢草莓！,2019-07-22
sun蜗牛,适合带着孩子去，散个心，一家人玩一玩,2019-06-30
小琳呦,在亿蜂上找的这家，服务很好，玩的很开心，预算范围内还省了不少，推荐推荐,2019-05-27
LuckyHanQi,小团建不错的选择，貌似我们团队把鱼都抓干净了～十几条的收获,2019-05-21
冰儿带泪的鱼,环境一般，玩的项目也少，自助烧烤等生碳都要好久，摊位费略贵,2019-01-02
summer_summer要变得更好,部门团建活动组织在这，吃的还可以，服务也还行，就是饮料。。。。换一趟实在是太累了！吃的玩的都还行！费用也挺合理的！部门团建要考虑大家吃什么不吃什么，自助形式，大家吃吃喝喝玩玩就可以了！就是自助的地方都是土地，有点脏，这个建议修整一下！					,2018-09-04
糖糖幸福生活,团建过去，总体一班，如果再次选择应该不会再去，里面好多都是承包出去了，所以互相都不支持工作，我们第一天烧烤，环境热，本身说的电扇只提供一台，太阳伞也没有，所以环境太热，蚊子多，体验不好，一共40人饼只有20张，男孩子都没有吃饱，食材这个价格也就一般，第二天房间说有早点，结果冒雨前行到了厨师说住宿那边没有对称，，不给做，最后只给一盆米饭，这怎么吃，总体不好					,2018-08-22
声断已随风_,农庄挺大的，特别适合团建，还有一些适合孩子们玩儿的设施，比如蹦床，秋千等等，就是可能天热的缘故，棚里有些闷，户外又感觉太晒。烧烤食材种类不算多，饮料要用喝完的瓶子去换。这里还有ktv，台球桌，可供娱乐，总体觉得还是挺适合聚会的场所。					,2018-08-15
来福_LY,去年单位来过一次，今年地址换了一个，环境比去年的稍好些，看的出农庄主人花了心思，有很多孩子们和我们很受用的东西，比如成功之道，守信之道，中庸之道等等，烧烤的地方很大，能够容纳很多人，唱歌的房间有些简陋，烧烤的食品不够新鲜，就餐环境苍蝇太多，商家应该想办法处理一下。					,2018-07-09
VFloraIP,非常差，公司团建来这边，比散客收费还贵，正常66一个人，樱桃采摘居然骗我们60一斤，到现场问价70两斤，采摘、烧烤加车费200一人，多收了至少三十一人，承诺的烤羊腿什么的都没有，现场所谓动物游乐园就几只鸟，所谓拓展就几个破轮胎树杈，所谓KTV就一间还被人占着，台球案子脏的不行还不平，乒乓球案子就一个，什么玩的都没有，大家不要再来这个鬼地方了，来了一定会后悔					,2018-06-28
妙不可言6688,地方很大，烧烤可以在几个区域里选择，用收据领炭火师傅能给送过来所以要先找好地儿池塘边上凉快我们去的晚了最后找了个四人桌有点挤采摘樱桃还是很贵的100其他的也没问小动物很多适合带孩子来还有一些拓展项目可以参与一下团购里说可以采野菜但是并没有人能告诉你什么样子的能摘所以并没有体会这项乐趣					,2018-06-19
super郭郭,夏天的时候去的，一路导航，定位挺准确的。占地面积特别大，娱乐活动有乒乓球，卡啦OK。想多接触大自然，可以采摘。还有好多种小动物，鸵鸟，孔雀。可以垂钓。碰上一个过来拓展的团队，很年轻，非常热闹。自助烧烤种类不少，想吃的基本都有了。炉子是商家提供，炭都是烧好的，自己动手，虽然有时会烤焦，但其乐无穷。					,2018-06-13
小猫爱美食,一般般性价比一般团建我都嫌寒酸自己去自助烧烤的就当找个野外地方烧烤吧不推荐,2018-06-09
gaoheng,地方很大，肉串还行吧，都是事先加工好冻起来的肉串串，算不上鲜，味道上还是可以的。大赞的是饮料管够，雪碧可乐啤酒矿泉水都有，不用自己准备了。碳是无烟的，也不用总加碳，比较省事。,2018-05-20
被拥戴的羽萱（木易）,樱桃小，且好多都有些烂，价格也不低，烧烤棚离拿肉的地方远，应该就只去这一次了,2018-04-15
大鼻涕小白,今天上午导航到这里结果不知道是在装修还是关门了里面一团糟我们就拐弯进了隔壁申隆,2018-03-30
心情不好就得吃,也就吃个气氛，自助烤串，春天过去玩，环境还行，烤的人多会呛,2018-01-27
惹是生非kldht,夏天去的，吃的还行，性价比高，小树林不错，可以躺吊床。,2017-10-25
SXMSR123,带孩子去的，很好，还有个动物园，也可以钓鱼,2017-10-20
封印的史学,假期跟哥们儿拼车去公交回的不远一个很安静的小院由于我们是工作日去的食材也还算新鲜总体还不错夏天很喜欢户外烧烤哦！,2017-10-10
小小蜗牛,十一假期，京郊人少，选择了这里。钓鱼钓的很开心，孩子们玩的很欢乐，老人挖野菜很满足，全家老小各得其乐！主要是人少！扣分项目：桌椅设施和草木都是年久失修的样子。下午自助的食物品种缺失，玉米没有，羊肉没有，西瓜没有，最不可理喻的是孩子想吃香蕉去厨房问，厨房阿姨自己吃着香蕉却说香蕉早没有了…					,2017-10-10
李宇面瘫君,实验室团建去他们家。一开始有人把我们分开两队带着玩游戏，之后是烧烤自助＋打牌，台球，乒乓球等等娱乐项目。整体还是很不错的，而且来这的人也多。老板人很好，我相机支架落在他们家了，打电话让他们帮我寄过来，周六回来打的电话，周一快递就到了，很是感谢！建议:提供的乒乓球太差了，可以花点钱买点好的，比如双鱼三星或者红双喜三星，交定金用好球，或者干脆卖质量好点的球，我觉得肯定很多人会把乒乓球台用起来					,2017-10-09
跳跳,周末无事，团了两张券过来玩。点评上很多相似的烧烤自助，挑了这家评价最好的，四星半。按照点评的地址导航，在目的地到达后应继续向西行驶二百米，马路南侧就是。接待小哥人不错，项目注意事项给我们都介绍了。领餐具，佐料，挑地方安营扎寨，炉子炭火都有工作人员给帮忙搭好。烤物种类挺多的，肉串，内脏，素菜，都有。肉串也分好几种，建议多烤烤其他的，肉串意思一下就可以了。取食材的地方有大蒜拿，吃几瓣靠谱。去的人多是拖家带口全体出动，所以园区里还有专门的娱乐设施给小孩儿玩。对面可以体验下钓鱼，免费，自己买包鱼食就好。不过免费池里估计没鱼，白挨了蚊子叮。总体感觉不错，性价比很高，就是吃完特别叫水。饮料免费无限喝，不过还是矿泉水最好，水果里的西瓜块儿特好吃，比汽水强多了。					,2017-10-09
Janeccc,上庄水库这边类似的烧烤非常多，选择了她们家。平日去人挺少的，但是相对东西也没有周六日那么丰富，不过基本的一些吃的还算齐全。爸妈第一去，不太会烤，之前弄的有点糊，后面的还行。肉串挺不错的，看着新鲜，就是希望以后商家周六日和平时的菜品能尽量保持一致。这次他们没有开车去，坐车到了后，商家去车站接，还是服务挺好的					,2017-10-06
gillian811231,周末跟朋友们去吃了顿烧烤自助。这个地方开车去挺好找的。到的早，看了会儿动物，打了会儿乒乓球，就等着吃饭了，因为大热天的，我们对于户外拓展活动不怎么感兴趣。11点开吃啦，羊肉串、鸡胗、鸡心、茄子、玉米等挺好吃的，面筋不好吃。吃饭时间三个小时够了，我们一点多就吃饱喝足去别处玩了。我觉得如果老板能再准备一些其他的室内游乐项目就好了，比如棋牌类。Ps：发张工作照秀一秀。					,2017-10-04
荣耀journey,十分不错老板服务热情十分不错老板服务热情,2017-10-03
sophiapu,材料还可以饮料不太好环境凑合炉子也还行,2017-09-21
么么哒_5765,玩的项目看起来很多，但是真的扬尘很厉害啊,2017-09-11
波波君in北京,吃喝玩一体，特别适合全家带孩子玩,2017-09-03
貓曉墨,适合老少！有玩的又唱的环境不错！就是厕所翻新一下就好了,2017-09-03
猫咪毛毛,除了烧烤没有可玩的，钓鱼都要领交钱，不会再去了,2017-08-16
nini0126,物品很少，服务太一般了，而且换饮料真会卡时间，本身饮料就少，连冰红茶和绿茶都没有，到点就说你到点了换不了，只能说再也不会来了，一次就够了……地面就不说了。交的现金，没让网上支付,2017-08-14
树林随缘,去的那天一共就三波人，可能是夏天到处都是爬的虫子，说的一些花丛现在也都是干枯的，坐的椅子也是挺脏的，不过碳火确实很不错很足,2017-07-31
白马小王子,特别棒，捞到了鲶鱼，吃的也全，老板还亲自来接送，就是鸡蛋藏的太深，没找到，总体来说还是特别特别棒,2017-07-13
shark老大,挺好的，吃的东西放在冰柜里，感觉挺新鲜，有台球和乒乓球，后面还有抓鱼活动，挺适合朋友聚会的！,2017-07-01
olive2000,今天刚去happy了一圈，主要推荐理由就是东西品质好，老板实在。肉串不掺假，鸡翅没有缩水，蔬菜新鲜，水果管够，饮料拿着空瓶去换想喝什么都可以，还避免浪费。除了烧烤还可以玩游戏，觉得自己唱的好的也可以吼两嗓子，吃完了还可以去摸鱼，捡鸡蛋，只要能找到就归自己，大人小孩都能参与，真的很不错。					,2017-06-25
wning1111,地点在上庄水库这边，我们坐公交车来的，下车以后有人来接，交通还挺方便的。烧烤是限时三小时的，需要拿收据领炭火、食材和饮料，记得一定随身带收据！领食材带地方都是一张收据一次只限一个人进入，所以不会特别乱，食材放在冰柜里，比较卫生，蔬菜水果也挺新鲜的。建议大家吃多少拿多少，别浪费。饮料选择挺多，汽水啤酒都有，都是瓶装的，不是自己调的这点很好。计时挺严格的，超过三小时就不能再领食物和饮料了。娱乐项目真的很少，卡拉OK是露天的，没去唱。可以租棋牌，但是牌桌不多。台球一直有人占着，乒乓球桌子上土太多了，球都弹不起来…厕所也挺脏的。商家服务态度不错，管接送到公交站。					,2017-06-09
狮子座老佛爷,整体不错，位置也很好找，我们是五一的时候去的，人超级多，但烧烤场地还是很充足的，也很干净，酒水都免费用喝完的空瓶子去换下一瓶，农庄里有拓展场地还有羊和鸡鸭可以喂，也可以钓鱼和各类球类运动，适合家庭朋友聚会也适合带孩子来玩，夏天可能会很热					,2017-06-03
